timestamp,open,high,low,close,adjusted close,volume,dividend amount
2016-03-24,147.3000,149.2800,144.4900,147.9500,92.1190,17611709,0.0000
2016-03-18,142.0100,147.5100,141.0400,147.0900,91.5835,29886417,0.0000
2016-03-11,137.2800,142.9236,136.8718,142.3600,88.6385,23556160,0.0000
2016-03-04,132.0000,139.4200,130.9000,137.8000,85.7993,22557187,0.0000
2016-02-26,133.8400,134.9200,129.6800,132.0300,82.2066,20763400,0.0000
2016-02-19,121.8300,134.0000,121.3400,133.0800,82.8604,23958762,0.0000
2016-02-12,126.0000,127.5100,116.9010,121.0400,75.3639,32025579,1.3000
2016-02-05,124.4000,128.6400,122.2900,128.5700,79.2411,25527891,0.0000
2016-01-29,122.1000,124.7900,120.6500,124.7900,76.9114,27278749,0.0000
2016-01-22,130.1100,132.1000,118.0000,122.5000,75.5000,44203492,0.0000
2016-01-15,131.8100,134.2799,128.8700,130.0300,80.1409,29470082,0.0000
2016-01-08,135.6000,136.8900,131.3200,131.6300,81.1270,25251873,0.0000
2015-12-31,137.7400,140.4400,136.5400,137.6200,84.8188,13538507,0.0000
2015-12-24,135.8300,139.3050,134.0200,138.2500,85.2071,16540309,0.0000
2015-12-18,135.3100,139.6500,134.0200,134.9000,83.1424,27823388,0.0000
2015-12-11,140.1600,140.4100,133.9100,134.5700,82.9390,21354563,0.0000
2015-12-04,138.6100,141.4000,137.9900,140.4300,86.5507,22935841,0.0000
2015-11-27,138.5300,139.3400,137.1200,138.4600,85.3365,13199481,0.0000
2015-11-20,131.7900,138.9150,131.7900,138.5000,85.3612,21083793,0.0000
2015-11-13,137.9200,138.0800,131.6500,131.7500,81.2010,25069755,0.0000
2015-11-06,140.5000,142.8000,137.8700,138.2500,85.2071,21526383,1.3000
2015-10-30,144.7500,145.0000,137.3300,140.0800,85.5307,34698762,0.0000
2015-10-23,149.8500,149.9700,139.3000,144.6800,88.3394,42068316,0.0000
2015-10-16,152.4000,152.5800,148.5800,150.3900,91.8258,17455488,0.0000
2015-10-09,145.8200,153.1470,145.8200,152.3900,93.0470,19465122,0.0000
2015-10-02,144.4200,145.7100,140.5600,144.5800,88.2784,19914471,0.0000
2015-09-25,145.3900,146.9800,141.9500,145.4200,88.7912,16815584,0.0000
2015-09-18,147.3700,149.6800,143.9800,144.5100,88.2356,20721826,0.0000
2015-09-11,145.8600,149.0400,144.5100,147.3700,89.9819,13916382,0.0000
2015-09-04,147.2600,148.4000,141.8500,143.7000,87.7410,21421138,0.0000
2015-08-28,143.4700,148.9700,140.6200,147.9800,90.3543,32508092,0.0000
2015-08-21,155.2000,156.6900,148.7000,148.8500,90.8855,19846207,0.0000
2015-08-14,156.7700,157.4652,153.9500,155.7500,95.0986,17165086,0.0000
2015-08-07,161.7000,161.8500,154.3350,155.1200,94.7139,20138504,1.3000
2015-07-31,159.0000,162.0600,158.5000,161.9900,98.0929,15380412,0.0000
2015-07-24,172.7900,173.7800,159.4100,159.7500,96.7364,37075256,0.0000
2015-07-17,167.9300,172.5200,167.5200,172.5100,104.4632,17138495,0.0000
2015-07-10,163.8300,167.4000,162.2317,166.9500,101.0964,18143986,0.0000
2015-07-02,163.9200,165.6100,162.1200,165.0900,99.9701,12979210,0.0000
2015-06-26,167.6500,169.9700,165.2300,165.4600,100.1941,20939777,0.0000
2015-06-19,165.3300,168.7200,164.2500,166.9900,101.1206,20761376,0.0000
2015-06-12,167.1700,170.4400,163.3700,166.9900,101.1206,18364270,0.0000
2015-06-05,170.2100,171.5601,167.2000,167.4000,101.3689,13868111,0.0000
2015-05-29,172.1100,172.4800,169.1300,169.6500,102.7314,12435919,0.0000
2015-05-22,173.4400,174.4400,171.9300,172.2200,104.2876,11939607,0.0000
2015-05-15,172.6500,174.4100,168.8400,173.2600,104.9174,13435074,0.0000
2015-05-08,174.4700,176.3000,168.8600,172.6800,104.5662,16793441,1.3000
2015-05-01,170.8900,175.1303,170.0200,173.6700,104.3678,21874751,0.0000
2015-04-24,162.1000,171.9100,161.9000,169.7800,102.0301,35436301,0.0000
2015-04-17,162.3700,164.9600,160.0300,160.6700,96.5554,17532781,0.0000
2015-04-10,159.6900,163.8400,158.7020,162.8600,97.8715,13917063,0.0000
2015-04-02,161.3100,163.6000,158.3900,160.4500,96.4232,16765545,0.0000
2015-03-27,162.7700,165.3500,158.9100,160.4000,96.3931,23569213,0.0000
2015-03-20,155.0500,163.0000,154.8000,162.8800,97.8835,25684872,0.0000
2015-03-13,158.2000,161.1500,153.4000,154.2800,92.7153,26135448,0.0000
2015-03-06,161.6800,161.8900,158.0600,158.5000,95.2513,21117049,0.0000
2015-02-27,164.2300,164.9900,159.7700,161.9400,97.3186,22941227,0.0000
2015-02-20,159.7500,164.4900,159.7300,163.6500,98.3462,14108892,0.0000
2015-02-13,156.0000,160.8000,155.0800,160.4000,96.3931,18164756,0.0000
2015-02-06,154.0000,158.7100,151.5100,156.7200,94.1816,22439830,1.1000
2015-01-30,158.2600,159.4600,149.5200,153.3100,91.4902,32927307,0.0000
2015-01-23,156.7000,157.6000,151.0700,155.8700,93.0179,31230797,0.0000
2015-01-16,159.0000,159.9700,153.7400,157.1400,93.7758,23272056,0.0000
2015-01-09,161.2700,161.2700,154.0300,159.1100,94.9515,24440360,0.0000
2015-01-02,162.0000,163.3100,159.4500,162.0600,96.7119,15698987,0.0000
2014-12-26,158.3300,163.0900,158.3300,162.3400,96.8790,12508916,0.0000
2014-12-19,155.9300,160.4100,150.5000,158.5100,94.5934,34588770,0.0000
2014-12-12,163.2900,163.3300,155.3300,155.3800,92.7255,23397756,0.0000
2014-12-05,161.6400,164.5200,161.3500,163.2700,97.4340,20945441,0.0000
2014-11-28,161.5400,163.8600,161.0100,162.1700,96.7776,17053892,0.0000
2014-11-21,164.1600,164.9700,159.8000,160.9200,96.0316,22273217,0.0000
2014-11-14,161.9000,164.4900,161.6100,164.1600,97.9651,20088151,0.0000
2014-11-07,164.2500,164.5400,160.0500,162.0700,96.7179,20603321,1.1000
2014-10-31,162.0000,165.5900,161.8000,164.4000,97.4445,27342119,0.0000
2014-10-24,166.8450,170.3310,161.1000,162.0800,96.0693,69701346,0.0000
2014-10-17,185.4900,186.6500,178.6900,182.0500,107.9061,24355568,0.0000
2014-10-10,189.6900,190.8900,185.1000,185.9300,110.2059,15795271,0.0000
2014-10-03,188.5100,190.8500,186.2400,188.6700,111.8300,14352364,0.0000
2014-09-26,193.7200,194.1400,188.6100,190.0600,112.6539,16209901,0.0000
2014-09-19,191.4200,195.0000,190.5800,194.0000,114.9892,20044000,0.0000
2014-09-12,190.7500,192.7800,189.5100,191.2800,113.3770,12878100,0.0000
2014-09-05,192.6800,192.9700,190.0600,191.2000,113.3296,9627700,0.0000
2014-08-29,191.3900,194.1330,190.6600,192.3000,113.9816,11487700,0.0000
2014-08-22,188.1000,192.0700,187.7600,190.4100,112.8613,11074800,0.0000
2014-08-15,187.8100,188.8800,186.2800,187.3800,111.0654,10927100,0.0000
2014-08-08,189.3500,189.9500,183.5800,186.6300,110.6208,14770900,1.1000
2014-08-01,194.3000,196.4000,188.8600,189.1500,111.4552,19838900,0.0000
2014-07-25,191.3000,195.9000,189.2500,194.4000,114.5488,19580700,0.0000
2014-07-18,188.5500,195.9500,188.2100,192.5000,113.4292,34217100,0.0000
2014-07-11,187.6100,188.9000,186.2100,188.0000,110.7776,14983700,0.0000
2014-07-03,181.3300,188.9900,180.2600,188.5300,111.0899,18382300,0.0000
2014-06-27,181.9200,183.0000,179.2700,181.7100,107.0713,17703900,0.0000
2014-06-20,182.4000,184.4700,181.2350,181.5500,106.9770,24186800,0.0000
2014-06-13,186.2200,187.6400,180.9100,182.5600,107.5721,18143900,0.0000
2014-06-06,184.7600,187.6500,183.9200,186.3700,109.8171,14243300,0.0000
2014-05-30,184.8000,185.6500,182.3300,184.3600,108.6328,15895800,0.0000
2014-05-23,186.6100,187.1600,184.7000,185.9400,109.5638,14066100,0.0000
2014-05-16,191.1200,193.0300,185.9300,187.0600,110.2237,19407200,0.0000
2014-05-09,191.0500,191.4900,186.9300,190.0800,112.0032,13925300,1.1000
2014-05-02,191.1400,196.8600,190.5800,191.4400,112.1529,21195300,0.0000
2014-04-25,189.8000,193.0000,189.1100,189.6300,111.0925,22312800,0.0000
2014-04-17,196.2400,198.7100,187.0100,190.0100,111.3151,30565200,0.0000
2014-04-11,191.7200,199.2100,191.5700,195.1900,114.3498,30598500,0.0000
