time,MINUS_DI
2021-09-23,21.5286
2021-09-22,24.8229
2021-09-21,28.1588
2021-09-20,32.6128
2021-09-17,23.7444
2021-09-16,21.7953
2021-09-15,24.7179
2021-09-14,27.9223
2021-09-13,19.4829
2021-09-10,22.0893
2021-09-09,21.8641
2021-09-08,23.7182
2021-09-07,25.0682
2021-09-03,17.5900
2021-09-02,19.0460
2021-09-01,19.2794
2021-08-31,20.7412
2021-08-30,23.5183
2021-08-27,25.1396
2021-08-26,25.0640
2021-08-25,23.6203
2021-08-24,25.5903
2021-08-23,26.9649
2021-08-20,29.0481
2021-08-19,32.5899
2021-08-18,24.0830
2021-08-17,17.9512
2021-08-16,13.3680
2021-08-13,13.3146
2021-08-12,14.2752
2021-08-11,15.2047
2021-08-10,16.4520
2021-08-09,14.2140
2021-08-06,13.8575
2021-08-05,15.0830
2021-08-04,14.7151
2021-08-03,16.0000
2021-08-02,18.8401
2021-07-30,20.9866
2021-07-29,18.0354
2021-07-28,19.0553
2021-07-27,20.3861
2021-07-26,22.3488
2021-07-23,24.2772
2021-07-22,25.3895
2021-07-21,26.8809
2021-07-20,28.7713
2021-07-19,38.6000
2021-07-16,31.9139
2021-07-15,35.7794
2021-07-14,38.0630
2021-07-13,38.0202
2021-07-12,38.0451
2021-07-09,37.9381
2021-07-08,39.9160
2021-07-07,41.4831
2021-07-06,44.2268
2021-07-02,40.3592
2021-07-01,17.8122
2021-06-30,18.6744
2021-06-29,18.8029
2021-06-28,20.3754
2021-06-25,22.8831
2021-06-24,25.2039
2021-06-23,27.1785
2021-06-22,25.9310
2021-06-21,27.7090
2021-06-18,33.2623
2021-06-17,26.0826
2021-06-16,19.5885
2021-06-15,14.7523
2021-06-14,15.5799
2021-06-11,8.4481
2021-06-10,9.1083
2021-06-09,10.6765
2021-06-08,12.0393
2021-06-07,13.5472
2021-06-04,14.7441
2021-06-03,16.4060
2021-06-02,18.0947
2021-06-01,19.7233
2021-05-28,21.9936
2021-05-27,22.2049
2021-05-26,23.7415
2021-05-25,24.0476
2021-05-24,21.5541
2021-05-21,22.2481
2021-05-20,23.9395
2021-05-19,26.7015
2021-05-18,20.2674
2021-05-17,17.4362
2021-05-14,18.4519
2021-05-13,19.6652
2021-05-12,22.4447
2021-05-11,18.2335
2021-05-10,8.9917
2021-05-07,10.0514
2021-05-06,10.9223
2021-05-05,12.3717
2021-05-04,12.8169
2021-05-03,13.8630
2021-04-30,15.8577
2021-04-29,8.8149
2021-04-28,10.9898
2021-04-27,11.6121
2021-04-26,9.5709
2021-04-23,10.3579
2021-04-22,11.2124
2021-04-21,12.8515
2021-04-20,16.3041
2021-04-19,22.2460
2021-04-16,21.7456
2021-04-15,23.4290
2021-04-14,25.3459
2021-04-13,28.1890
2021-04-12,15.6274
2021-04-09,12.5361
2021-04-08,13.2044
2021-04-07,14.1749
2021-04-06,13.4837
2021-04-05,14.6345
2021-04-01,17.1050
2021-03-31,16.3658
2021-03-30,11.7919
2021-03-29,6.1173
2021-03-26,6.5430
