time,PLUS_DI
2023-02-23,9.3762
2023-02-22,10.7454
2023-02-21,11.6630
2023-02-17,13.7517
2023-02-16,14.9650
2023-02-15,16.3559
2023-02-14,17.4658
2023-02-13,19.4531
2023-02-10,13.3003
2023-02-09,14.5658
2023-02-08,13.0701
2023-02-07,12.4520
2023-02-06,13.5533
2023-02-03,14.7516
2023-02-02,14.6646
2023-02-01,11.9704
2023-01-31,13.4583
2023-01-30,14.4824
2023-01-27,13.2513
2023-01-26,14.1078
2023-01-25,19.1536
2023-01-24,21.0048
2023-01-23,23.6620
2023-01-20,20.6501
2023-01-19,21.8441
2023-01-18,24.1530
2023-01-17,29.8352
2023-01-13,27.8024
2023-01-12,30.4983
2023-01-11,28.3095
2023-01-10,27.8980
2023-01-09,30.2985
2023-01-06,27.7333
2023-01-05,23.8238
2023-01-04,26.5719
2023-01-03,21.6478
2022-12-30,18.7380
2022-12-29,19.9526
2022-12-28,21.7152
2022-12-27,24.1685
2022-12-23,22.2788
2022-12-22,22.5941
2022-12-21,25.5552
2022-12-20,21.4997
2022-12-19,20.3392
2022-12-16,22.7341
2022-12-15,25.5643
2022-12-14,35.1958
2022-12-13,41.0061
2022-12-12,28.7715
2022-12-09,27.6359
2022-12-08,29.5363
2022-12-07,27.1079
2022-12-06,29.4860
2022-12-05,30.9679
2022-12-02,33.9406
2022-12-01,36.0304
2022-11-30,38.5894
2022-11-29,34.2591
2022-11-28,36.4744
2022-11-25,40.3751
2022-11-23,42.7205
2022-11-22,41.9534
2022-11-21,40.7188
2022-11-18,43.0617
2022-11-17,38.8226
2022-11-16,38.4689
2022-11-15,39.7577
2022-11-14,45.8675
2022-11-11,45.2520
2022-11-10,40.1389
2022-11-09,36.6243
2022-11-08,39.4258
2022-11-07,34.8156
2022-11-04,34.0453
2022-11-03,33.5201
2022-11-02,37.0995
2022-11-01,36.0774
2022-10-31,38.6476
2022-10-28,41.6244
2022-10-27,38.8445
2022-10-26,39.6287
2022-10-25,34.8739
2022-10-24,36.5872
2022-10-21,32.9709
2022-10-20,30.2367
2022-10-19,18.6700
2022-10-18,19.9938
2022-10-17,17.9312
2022-10-14,18.5400
2022-10-13,18.9222
2022-10-12,10.7396
2022-10-11,11.3854
2022-10-10,12.3350
2022-10-07,13.6406
2022-10-06,15.7824
2022-10-05,18.2427
2022-10-04,16.6960
2022-10-03,5.6223
2022-09-30,6.4129
2022-09-29,7.4757
2022-09-28,8.1748
2022-09-27,9.4119
2022-09-26,10.6264
2022-09-23,11.8277
2022-09-22,13.8288
2022-09-21,15.1894
2022-09-20,13.2348
2022-09-19,14.6345
2022-09-16,13.3774
2022-09-15,15.8374
2022-09-14,18.0957
2022-09-13,20.0868
2022-09-12,24.4577
2022-09-09,18.5892
2022-09-08,14.9177
2022-09-07,12.8788
2022-09-06,13.9402
2022-09-02,15.1899
2022-09-01,13.9008
2022-08-31,15.4642
2022-08-30,16.7717
2022-08-29,18.0417
2022-08-26,19.7217
2022-08-25,23.8750
2022-08-24,25.5862
2022-08-23,28.2786
2022-08-22,30.2557
2022-08-19,34.8662
2022-08-18,36.7452
2022-08-17,35.7501
2022-08-16,34.3336
2022-08-15,28.3664
2022-08-12,26.9801
2022-08-11,25.4224
2022-08-10,20.2263
2022-08-09,17.5051
2022-08-08,19.1380
2022-08-05,17.0767
2022-08-04,16.5603
2022-08-03,17.5368
2022-08-02,18.3444
2022-08-01,20.1050
2022-07-29,14.7595
2022-07-28,11.0795
2022-07-27,10.1591
2022-07-26,10.3667
2022-07-25,10.9565
2022-07-22,8.8175
2022-07-21,9.5307
2022-07-20,10.7444
2022-07-19,11.6763
2022-07-18,16.4026
2022-07-15,17.9928
2022-07-14,14.7275
2022-07-13,17.2794
2022-07-12,18.8674
2022-07-11,21.0510
2022-07-08,20.3696
2022-07-07,21.4455
2022-07-06,16.1870
2022-07-05,17.2916
2022-07-01,21.0552
2022-06-30,22.9035
2022-06-29,25.5691
2022-06-28,29.4729
2022-06-27,32.6342
2022-06-24,29.5547
2022-06-23,19.8275
2022-06-22,19.7559
2022-06-21,21.2543
2022-06-17,18.4691
2022-06-16,21.2941
2022-06-15,23.3744
2022-06-14,20.3593
2022-06-13,21.8544
2022-06-10,24.8479
2022-06-09,27.2361
2022-06-08,30.2379
2022-06-07,33.0295
2022-06-06,35.2629
2022-06-03,32.2309
2022-06-02,27.6648
2022-06-01,30.8370
2022-05-31,30.7140
2022-05-27,33.6261
2022-05-26,29.8424
2022-05-25,24.4268
2022-05-24,24.5097
2022-05-23,20.3146
2022-05-20,17.8132
2022-05-19,20.1865
2022-05-18,22.7066
2022-05-17,27.1833
2022-05-16,24.1706
2022-05-13,18.6277
2022-05-12,19.6756
2022-05-11,19.5869
2022-05-10,21.9496
2022-05-09,27.3637
2022-05-06,30.2819
2022-05-05,30.3943
2022-05-04,33.0631
2022-05-03,24.4805
2022-05-02,25.8329
2022-04-29,28.3548
2022-04-28,32.0066
2022-04-27,34.3257
2022-04-26,37.0883
2022-04-25,40.8444
2022-04-22,46.9934
2022-04-21,51.8617
2022-04-20,51.9642
2022-04-19,29.7449
2022-04-18,24.8384
2022-04-14,27.0639
2022-04-13,12.5216
2022-04-12,13.6856
2022-04-11,14.9324
2022-04-08,16.4658
2022-04-07,17.7042
2022-04-06,20.1011
2022-04-05,22.4282
2022-04-04,21.3661
2022-04-01,22.0980
2022-03-31,24.5686
2022-03-30,27.2071
2022-03-29,28.2874
2022-03-28,25.0283
2022-03-25,26.8564
2022-03-24,19.8303
2022-03-23,21.2851
2022-03-22,22.1999
2022-03-21,23.5534
2022-03-18,22.4787
2022-03-17,22.2120
2022-03-16,19.7653
2022-03-15,16.4688
2022-03-14,15.1645
2022-03-11,16.6193
2022-03-10,15.5936
2022-03-09,17.4806
2022-03-08,19.1078
2022-03-07,21.7637
2022-03-04,21.5408
2022-03-03,21.5070
2022-03-02,15.9694
2022-03-01,13.0981
2022-02-28,14.4880
2022-02-25,16.3064
2022-02-24,9.4894
2022-02-23,10.7647
2022-02-22,12.0146
2022-02-18,13.1404
2022-02-17,14.0768
2022-02-16,16.5950
2022-02-15,18.0588
2022-02-14,19.5311
2022-02-11,22.4063
2022-02-10,24.4950
2022-02-09,27.9010
2022-02-08,26.3339
2022-02-07,28.0284
2022-02-04,29.5555
2022-02-03,31.9990
2022-02-02,31.0868
2022-02-01,28.1792
2022-01-31,25.2183
2022-01-28,26.9859
2022-01-27,29.2870
2022-01-26,31.6542
2022-01-25,35.4608
2022-01-24,17.2578
2022-01-21,20.7822
2022-01-20,22.9047
2022-01-19,24.9410
2022-01-18,27.2029
2022-01-14,29.6536
2022-01-13,31.5932
2022-01-12,28.8353
2022-01-11,27.7055
2022-01-10,35.5264
2022-01-07,37.3833
2022-01-06,40.5249
2022-01-05,51.1342
2022-01-04,50.9364
2022-01-03,42.5448
2021-12-31,41.6152
2021-12-30,41.3757
2021-12-29,42.7164
2021-12-28,41.8667
2021-12-27,37.6679
2021-12-23,37.4401
2021-12-22,34.6693
2021-12-21,35.9885
2021-12-20,30.3619
2021-12-17,33.8802
2021-12-16,30.1499
2021-12-15,26.5994
2021-12-14,29.9103
2021-12-13,30.5931
2021-12-10,36.1764
2021-12-09,32.7953
2021-12-08,33.4952
2021-12-07,30.1282
2021-12-06,28.7588
2021-12-03,23.1589
2021-12-02,19.0821
2021-12-01,20.3934
