time,HT_TRENDLINE
2021-07-23,113.0494
2021-07-22,113.2074
2021-07-21,113.3817
2021-07-20,113.6777
2021-07-19,113.9901
2021-07-16,114.3108
2021-07-15,114.6283
2021-07-14,114.8480
2021-07-13,115.1548
2021-07-12,115.5614
2021-07-09,115.9851
2021-07-08,116.4534
2021-07-07,116.9609
2021-07-06,117.4198
2021-07-02,117.6808
2021-07-01,117.7753
2021-06-30,117.7027
2021-06-29,117.6088
2021-06-28,117.4852
2021-06-25,117.4112
2021-06-24,117.3343
2021-06-23,117.2755
2021-06-22,117.2164
2021-06-21,117.1280
2021-06-18,117.0313
2021-06-17,116.9956
2021-06-16,116.8847
2021-06-15,116.6932
2021-06-14,116.4511
2021-06-11,116.1899
2021-06-10,115.9790
2021-06-09,115.8114
2021-06-08,115.6731
2021-06-07,115.5605
2021-06-04,115.4541
2021-06-03,115.3348
2021-06-02,115.2089
2021-06-01,115.0591
2021-05-28,114.9399
2021-05-27,114.7867
2021-05-26,114.6689
2021-05-25,114.5435
2021-05-24,114.3973
2021-05-21,114.2240
2021-05-20,113.9720
2021-05-19,113.6930
2021-05-18,113.2452
2021-05-17,112.7699
2021-05-14,112.2658
2021-05-13,111.7791
2021-05-12,111.2896
2021-05-11,110.8083
2021-05-10,110.3053
2021-05-07,109.7418
2021-05-06,109.2088
2021-05-05,108.6741
2021-05-04,108.1619
2021-05-03,107.5588
2021-04-30,107.0484
2021-04-29,106.5552
2021-04-28,106.0476
2021-04-27,105.4928
2021-04-26,104.9955
2021-04-23,104.6528
2021-04-22,104.3047
2021-04-21,103.9700
2021-04-20,103.3998
2021-04-19,102.8091
2021-04-16,102.2901
2021-04-15,101.8243
2021-04-14,101.5208
2021-04-13,101.3227
2021-04-12,101.1694
2021-04-09,101.0536
2021-04-08,100.8603
2021-04-07,100.6837
2021-04-06,100.6399
2021-04-05,100.6001
2021-04-01,100.6339
2021-03-31,100.6472
2021-03-30,100.4947
2021-03-29,100.2876
