time,ADOSC
2022-03-31,2322379.4103
2022-03-30,3204527.4054
2022-03-29,3303770.0701
2022-03-28,3028096.7490
2022-03-25,2593401.5449
2022-03-24,2176378.4815
2022-03-23,2100196.6929
2022-03-22,2426313.2062
2022-03-21,2018154.7989
2022-03-18,1537876.9212
2022-03-17,109399.5042
2022-03-16,-739027.1463
2022-03-15,-1574878.7184
2022-03-14,-1966073.2806
2022-03-11,-1594055.5623
2022-03-10,-721984.3126
2022-03-09,-147296.2627
2022-03-08,690908.2042
2022-03-07,1273947.0611
2022-03-04,1506104.5728
2022-03-03,914565.1884
2022-03-02,382764.0720
2022-03-01,-63395.6133
2022-02-28,-261924.8507
2022-02-25,-1296289.4762
2022-02-24,-2571713.3056
2022-02-23,-3457800.6168
2022-02-22,-3019057.9795
2022-02-18,-2853909.0981
2022-02-17,-2132374.4484
2022-02-16,-817503.5627
2022-02-15,-79981.8679
2022-02-14,1069801.2938
2022-02-11,2227153.0577
2022-02-10,3512559.1655
2022-02-09,4627503.8559
2022-02-08,4839592.9805
2022-02-07,5084950.5764
2022-02-04,5463799.7991
2022-02-03,5812060.4522
2022-02-02,5480121.3758
2022-02-01,4823307.8680
2022-01-31,4175812.5303
2022-01-28,3820259.9231
2022-01-27,3425858.5644
2022-01-26,3808717.1209
2022-01-25,3063273.9725
2022-01-24,368921.8877
2022-01-21,-633478.5484
2022-01-20,916735.6029
2022-01-19,2117089.4288
2022-01-18,2933115.6592
2022-01-14,3040549.2307
2022-01-13,3044434.2419
2022-01-12,2697252.7615
2022-01-11,1712179.6236
2022-01-10,358595.3605
2022-01-07,472232.3239
2022-01-06,884966.8058
2022-01-05,1872858.0753
2022-01-04,3363985.7615
2022-01-03,3627547.5409
2021-12-31,3802813.7574
2021-12-30,4737245.8079
2021-12-29,5069823.6641
2021-12-28,5217457.4997
2021-12-27,5025561.3759
2021-12-23,4379702.6561
2021-12-22,3859808.1657
2021-12-21,3026846.6648
2021-12-20,2213402.2924
2021-12-17,1236409.0475
2021-12-16,526757.3620
2021-12-15,-33575.7903
2021-12-14,57996.4666
2021-12-13,-188247.1406
2021-12-10,-508270.3270
2021-12-09,-1030716.1934
2021-12-08,-2231190.8838
2021-12-07,-3355765.1461
2021-12-06,-4110974.7720
2021-12-03,-4313774.1460
2021-12-02,-4760782.0298
2021-12-01,-4167302.1690
2021-11-30,-3378681.1542
2021-11-29,-3101556.4171
2021-11-26,-3621447.0457
2021-11-24,-4339527.4288
2021-11-23,-4796927.8222
2021-11-22,-5019802.8983
2021-11-19,-5158077.9351
