time,RSI
2012-06-29,45.2387
2012-06-22,51.8473
2012-06-15,50.6098
2012-06-08,38.4965
2012-06-01,47.1686
2012-05-25,48.2492
2012-05-18,54.0238
2012-05-11,59.1732
2012-05-04,63.8883
2012-04-27,53.1013
2012-04-20,67.1143
2012-04-13,66.7220
2012-04-05,77.9454
2012-03-30,75.9405
2012-03-23,75.3458
2012-03-16,71.2087
2012-03-09,68.6642
2012-03-02,67.0532
2012-02-24,63.8216
2012-02-17,63.3764
2012-02-10,61.7892
2012-02-03,58.6367
2012-01-27,57.1115
2012-01-20,48.3704
2012-01-13,50.6339
2012-01-06,56.4912
2011-12-30,54.6571
2011-12-23,54.2030
2011-12-16,66.0130
2011-12-09,64.1170
2011-12-02,56.6180
2011-11-25,57.4601
2011-11-18,65.1211
2011-11-11,62.2359
2011-11-04,61.7520
2011-10-28,58.6653
2011-10-21,68.6929
2011-10-14,64.1843
2011-10-07,57.0096
2011-09-30,53.7266
2011-09-23,52.3194
2011-09-16,41.5078
2011-09-09,44.6698
2011-09-02,52.5991
2011-08-26,41.0373
2011-08-19,53.7929
2011-08-12,50.3220
2011-08-05,77.6075
2011-07-29,81.5542
2011-07-22,72.6731
2011-07-15,73.2623
2011-07-08,71.5789
2011-07-01,58.2378
2011-06-24,53.0352
2011-06-17,55.2836
2011-06-10,56.2111
2011-06-03,68.0220
2011-05-27,68.5149
2011-05-20,72.6793
2011-05-13,70.8376
2011-05-06,81.0893
2011-04-29,76.4954
2011-04-21,72.4269
2011-04-15,70.6011
2011-04-08,74.2131
2011-04-01,70.1776
2011-03-25,63.1492
2011-03-18,78.1010
2011-03-11,80.2382
2011-03-04,83.8033
2011-02-25,89.5013
2011-02-18,92.3503
2011-02-11,92.0750
2011-02-04,89.9207
2011-01-28,87.5911
2011-01-21,82.0213
2011-01-14,78.5563
2011-01-07,77.9237
2010-12-31,74.0293
2010-12-23,75.5795
2010-12-17,75.1458
2010-12-10,74.1543
2010-12-03,72.4918
2010-11-26,74.4987
2010-11-19,74.3491
2010-11-12,79.9514
2010-11-05,77.5011
2010-10-29,73.5185
2010-10-22,75.3069
2010-10-15,72.6773
2010-10-08,67.4070
2010-10-01,64.4230
2010-09-24,57.8144
2010-09-17,54.0306
2010-09-10,49.9119
2010-09-03,44.7205
2010-08-27,50.9118
2010-08-20,50.6649
2010-08-13,59.6247
2010-08-06,54.9070
2010-07-30,52.4685
2010-07-23,53.6646
2010-07-16,50.9972
2010-07-09,42.2788
2010-07-02,51.0586
2010-06-25,61.7486
2010-06-18,55.2119
2010-06-11,47.0387
2010-06-04,44.2906
2010-05-28,45.6721
2010-05-21,62.3028
2010-05-14,48.5959
2010-05-07,59.3661
2010-04-30,61.2040
2010-04-23,64.2016
2010-04-16,58.9147
2010-04-09,58.3333
2010-04-01,62.1668
2010-03-26,55.9674
2010-03-19,57.0822
2010-03-12,56.1608
2010-03-05,57.6010
2010-02-26,57.1515
2010-02-19,51.6369
2010-02-12,47.1269
2010-02-05,45.9052
2010-01-29,53.1007
2010-01-22,69.9787
2010-01-15,69.0258
2010-01-08,69.4435
2009-12-31,69.1777
2009-12-24,64.5142
2009-12-18,70.0458
2009-12-11,66.1326
2009-12-04,63.3983
2009-11-27,70.9564
2009-11-20,70.3018
2009-11-13,66.0831
2009-11-06,60.0393
2009-10-30,60.0393
2009-10-23,62.7357
2009-10-16,72.0557
2009-10-09,63.3463
2009-10-02,68.0764
2009-09-25,69.5478
2009-09-18,64.0167
2009-09-11,66.5544
2009-09-04,65.4530
2009-08-28,72.6852
2009-08-21,69.1740
2009-08-14,73.0462
2009-08-07,73.4350
2009-07-31,71.7645
2009-07-24,69.6076
2009-07-17,51.2617
2009-07-10,51.8786
2009-07-02,62.1350
2009-06-26,60.8587
2009-06-19,67.0070
2009-06-12,65.7486
2009-06-05,66.4397
2009-05-29,59.2108
2009-05-22,60.6331
2009-05-15,59.4603
2009-05-08,66.5585
2009-05-01,59.8621
2009-04-24,61.1893
2009-04-17,61.1779
2009-04-09,62.1966
2009-04-03,51.8351
2009-03-27,54.3983
2009-03-20,51.3954
2009-03-13,41.6690
2009-03-06,50.5380
2009-02-27,47.6390
2009-02-20,51.1448
2009-02-13,57.7564
2009-02-06,49.6720
2009-01-30,48.4067
2009-01-23,40.2451
2009-01-16,39.9207
2009-01-09,41.9147
2009-01-02,34.4257
2008-12-26,35.7955
2008-12-19,34.6480
2008-12-12,34.6920
2008-12-05,32.6098
2008-11-28,25.7584
2008-11-21,27.5278
2008-11-14,32.2002
2008-11-07,34.7387
2008-10-31,17.1451
2008-10-24,22.3883
2008-10-17,19.0870
2008-10-10,24.8834
2008-10-03,42.3093
2008-09-26,44.0365
2008-09-19,36.9492
2008-09-12,40.9355
2008-09-05,49.8673
2008-08-29,53.3295
2008-08-22,57.8416
2008-08-15,62.4300
2008-08-08,59.2038
2008-08-01,61.2217
2008-07-25,65.9257
2008-07-18,53.9859
2008-07-11,49.6775
2008-07-03,50.3983
2008-06-27,56.3889
2008-06-20,61.7914
2008-06-13,61.6839
2008-06-06,68.8498
2008-05-30,63.4348
2008-05-23,72.3492
2008-05-16,68.0813
2008-05-09,66.2283
2008-05-02,66.7268
2008-04-25,65.7459
2008-04-18,58.8839
2008-04-11,59.1940
2008-04-04,56.2413
2008-03-28,64.2266
2008-03-20,57.7116
2008-03-14,57.9161
2008-03-07,59.4487
2008-02-29,51.8745
2008-02-22,50.7244
2008-02-15,45.6114
2008-02-08,51.9509
2008-02-01,46.7415
2008-01-25,38.8965
2008-01-18,45.6247
2008-01-11,37.9402
2008-01-04,50.1567
2007-12-28,53.5593
2007-12-21,43.1889
2007-12-14,49.3663
2007-12-07,42.0739
2007-11-30,39.7645
2007-11-23,39.6408
2007-11-16,34.7112
2007-11-09,56.3701
2007-11-02,53.9348
2007-10-26,47.5550
2007-10-19,67.6396
2007-10-12,64.0142
2007-10-05,69.7549
2007-09-28,68.5618
2007-09-21,64.6759
2007-09-14,69.7932
2007-09-07,70.4505
2007-08-31,65.2762
2007-08-24,61.4570
2007-08-17,68.1732
2007-08-10,65.9026
2007-08-03,78.9287
2007-07-27,78.1403
2007-07-20,69.3355
2007-07-13,69.9788
2007-07-06,63.6416
2007-06-29,62.2235
2007-06-22,64.0635
2007-06-15,59.2425
2007-06-08,72.4782
2007-06-01,70.9834
2007-05-25,77.4122
2007-05-18,75.7348
2007-05-11,70.6977
2007-05-04,67.8315
2007-04-27,53.5595
2007-04-20,52.3709
2007-04-13,57.6861
2007-04-05,51.8180
2007-03-30,52.9540
2007-03-23,50.3099
2007-03-16,48.3733
2007-03-09,38.4255
2007-03-02,67.9039
2007-02-23,73.2183
2007-02-16,74.1321
2007-02-09,74.5629
2007-02-02,72.4265
2007-01-26,68.7136
2007-01-19,87.5300
2007-01-12,86.5272
2007-01-05,84.9136
2006-12-29,81.6942
2006-12-22,81.6128
2006-12-15,79.6058
2006-12-08,77.4041
2006-12-01,78.7207
2006-11-24,85.3128
2006-11-17,82.8496
2006-11-10,82.1208
2006-11-03,80.4843
2006-10-27,80.1435
2006-10-20,73.5398
2006-10-13,66.0043
2006-10-06,61.3551
2006-09-29,60.9370
2006-09-22,65.8529
2006-09-15,59.6046
2006-09-08,62.7135
2006-09-01,58.4856
2006-08-25,57.1181
2006-08-18,41.1551
2006-08-11,38.2142
2006-08-04,41.0811
2006-07-28,32.5325
2006-07-21,21.9365
2006-07-14,29.4082
2006-07-07,34.4680
2006-06-30,30.5121
2006-06-23,34.3154
2006-06-16,31.4504
2006-06-09,36.8570
2006-06-02,42.6681
2006-05-26,39.8695
2006-05-19,49.7939
2006-05-12,55.1035
2006-05-05,53.3820
2006-04-28,45.5337
2006-04-21,48.1942
2006-04-13,52.4168
2006-04-07,53.7713
2006-03-31,55.2231
2006-03-24,55.9023
2006-03-17,49.1973
2006-03-10,41.3829
2006-03-03,41.1130
2006-02-24,41.4566
2006-02-17,45.6837
2006-02-10,38.3869
2006-02-03,41.8183
2006-01-27,42.8069
2006-01-20,47.6099
2006-01-13,51.5017
2006-01-06,46.2934
2005-12-30,49.7061
2005-12-23,48.8829
2005-12-16,62.8897
2005-12-09,69.4784
2005-12-02,71.4161
2005-11-25,69.0884
2005-11-18,61.1366
2005-11-11,57.1396
2005-11-04,51.9068
2005-10-28,58.5417
2005-10-21,56.1094
2005-10-14,52.5581
2005-10-07,49.1883
2005-09-30,42.2786
2005-09-23,46.5434
2005-09-16,50.6952
2005-09-09,46.2459
2005-09-02,47.1089
2005-08-26,55.6815
2005-08-19,53.3184
2005-08-12,58.2875
2005-08-05,56.8279
2005-07-29,59.8557
2005-07-22,55.5250
2005-07-15,49.0921
2005-07-08,31.9126
2005-07-01,30.3535
2005-06-24,34.2015
2005-06-17,27.9775
2005-06-10,30.1590
2005-06-03,31.5203
2005-05-27,30.4610
2005-05-20,18.2886
2005-05-13,20.4685
2005-05-06,22.0094
2005-04-29,15.3885
2005-04-22,16.8915
2005-04-15,31.8378
2005-04-08,40.4619
2005-04-01,42.8739
2005-03-24,35.8237
2005-03-18,43.6393
2005-03-11,47.4464
2005-03-04,48.2487
2005-02-25,48.8266
2005-02-18,50.7410
2005-02-11,54.7208
2005-02-04,52.3961
2005-01-28,49.2111
2005-01-21,52.3642
2005-01-14,60.1400
2005-01-07,75.1895
2004-12-31,72.7246
2004-12-23,69.9079
2004-12-17,72.4194
2004-12-10,72.5602
2004-12-03,69.0600
2004-11-26,67.8421
2004-11-19,70.9035
2004-11-12,66.3883
2004-11-05,58.9648
2004-10-29,53.5301
2004-10-22,42.9715
2004-10-15,51.4668
