time,MIDPOINT
2022-04-26,115.3952
2022-04-25,115.3952
2022-04-22,115.3952
2022-04-21,115.3952
2022-04-20,114.7311
2022-04-19,110.8546
2022-04-18,111.2366
2022-04-14,111.2366
2022-04-13,111.2366
2022-04-12,112.0440
2022-04-11,112.2133
2022-04-08,112.8037
2022-04-07,113.1596
2022-04-06,113.3072
2022-04-05,113.0511
2022-04-04,113.0511
2022-04-01,112.9643
2022-03-31,112.9643
2022-03-30,112.9035
2022-03-29,112.4217
2022-03-28,111.6099
2022-03-25,110.8199
2022-03-24,109.9083
2022-03-23,109.8258
2022-03-22,109.8258
2022-03-21,109.6956
2022-03-18,109.6956
2022-03-17,109.3483
2022-03-16,108.9489
2022-03-15,108.7319
2022-03-14,107.6423
2022-03-11,107.6423
2022-03-10,107.6423
2022-03-09,107.6423
2022-03-08,107.6423
2022-03-07,107.6423
2022-03-04,107.6423
2022-03-03,107.3428
2022-03-02,108.7536
2022-03-01,109.0835
2022-02-28,109.4438
2022-02-25,110.5464
2022-02-24,110.9067
2022-02-23,112.0779
2022-02-22,112.8810
2022-02-18,113.0677
2022-02-17,113.3368
2022-02-16,115.1643
2022-02-15,115.4942
2022-02-14,115.5854
2022-02-11,116.3665
2022-02-10,116.3665
2022-02-09,115.9162
2022-02-08,115.9119
2022-02-07,115.9119
2022-02-04,114.3252
2022-02-03,114.3252
2022-02-02,114.0980
2022-02-01,113.6048
2022-01-31,113.6048
2022-01-28,113.6048
2022-01-27,113.6048
2022-01-26,113.6048
2022-01-25,113.6048
2022-01-24,113.1460
2022-01-21,113.3732
2022-01-20,114.1366
2022-01-19,115.6975
2022-01-18,116.2507
2022-01-14,116.2507
2022-01-13,116.2507
2022-01-12,116.2507
2022-01-11,116.2507
2022-01-10,116.1478
2022-01-07,115.7146
2022-01-06,115.2901
2022-01-05,114.9127
2022-01-04,114.4925
2022-01-03,112.8243
2021-12-31,111.9109
2021-12-30,111.4264
2021-12-29,109.9769
2021-12-28,109.6682
2021-12-27,109.0078
2021-12-23,108.5833
2021-12-22,108.2059
2021-12-21,107.8714
2021-12-20,106.7693
2021-12-17,106.0532
2021-12-16,104.9640
2021-12-15,103.3430
2021-12-14,103.3430
2021-12-13,103.3430
2021-12-10,103.3430
2021-12-09,102.6526
2021-12-08,102.4167
2021-12-07,101.7992
2021-12-06,101.0831
2021-12-03,100.6242
2021-12-02,100.4784
2021-12-01,100.4784
2021-11-30,100.4784
2021-11-29,100.6371
2021-11-26,100.6757
2021-11-24,101.3404
2021-11-23,101.3404
2021-11-22,101.5891
2021-11-19,102.4564
2021-11-18,102.7180
2021-11-17,103.3184
2021-11-16,103.4899
2021-11-15,103.6657
2021-11-12,103.7043
2021-11-11,103.2914
2021-11-10,103.2914
2021-11-09,103.2914
2021-11-08,103.2914
2021-11-05,102.8979
2021-11-04,102.3252
2021-11-03,102.5072
2021-11-02,107.9960
2021-11-01,108.0283
2021-10-29,108.1659
2021-10-28,109.1204
2021-10-27,109.1204
2021-10-26,109.9132
2021-10-25,110.1195
2021-10-22,110.2166
2021-10-21,110.3986
2021-10-20,115.3090
2021-10-19,115.3090
2021-10-18,115.3090
2021-10-15,115.3090
2021-10-14,115.1067
2021-10-13,114.4838
2021-10-12,114.4838
2021-10-11,113.8933
2021-10-08,113.8933
2021-10-07,113.8933
2021-10-06,113.5940
2021-10-05,112.7446
2021-10-04,112.0731
2021-10-01,111.7536
2021-09-30,110.0790
2021-09-29,110.0790
2021-09-28,109.8283
2021-09-27,109.8283
2021-09-24,109.6624
2021-09-23,109.6624
2021-09-22,109.6624
2021-09-21,109.8728
2021-09-20,110.4148
2021-09-17,111.1550
2021-09-16,111.7293
2021-09-15,111.7293
2021-09-14,111.8628
2021-09-13,112.1864
2021-09-10,112.1864
2021-09-09,112.4776
2021-09-08,112.6070
2021-09-07,112.6070
2021-09-03,112.8983
2021-09-02,112.8983
2021-09-01,112.5909
2021-08-31,112.5909
2021-08-30,113.4322
2021-08-27,113.9054
2021-08-26,113.9054
2021-08-25,113.9054
2021-08-24,113.9054
2021-08-23,113.9054
2021-08-20,113.9054
2021-08-19,113.9054
2021-08-18,114.4919
2021-08-17,115.1599
2021-08-16,115.1599
2021-08-13,114.4583
2021-08-12,114.2299
2021-08-11,113.9735
2021-08-10,113.9735
2021-08-09,113.9735
2021-08-06,113.9735
2021-08-05,113.9655
2021-08-04,113.8656
2021-08-03,113.8656
2021-08-02,113.0499
2021-07-30,112.2302
2021-07-29,112.2302
2021-07-28,112.2302
2021-07-27,112.2302
2021-07-26,112.2302
2021-07-23,111.6585
2021-07-22,111.7304
2021-07-21,111.7304
2021-07-20,111.7304
2021-07-19,111.7304
2021-07-16,112.0743
2021-07-15,114.2014
2021-07-14,114.2014
2021-07-13,114.2014
2021-07-12,114.2014
2021-07-09,114.2014
2021-07-08,114.2014
2021-07-07,114.2014
2021-07-06,114.2014
2021-07-02,114.6972
2021-07-01,115.9367
2021-06-30,115.9367
2021-06-29,116.3326
2021-06-28,116.9443
2021-06-25,117.2122
2021-06-24,117.7120
2021-06-23,117.7120
2021-06-22,117.7120
2021-06-21,117.7120
2021-06-18,117.7120
2021-06-17,118.7036
2021-06-16,118.6836
2021-06-15,118.6836
2021-06-14,118.1398
2021-06-11,117.9599
2021-06-10,117.7160
2021-06-09,117.5721
2021-06-08,116.9323
2021-06-07,116.5125
2021-06-04,116.2726
2021-06-03,115.5929
2021-06-02,115.5169
2021-06-01,115.1251
2021-05-28,115.2730
2021-05-27,115.2730
2021-05-26,115.2730
2021-05-25,114.5173
2021-05-24,114.5173
2021-05-21,114.9411
2021-05-20,114.9411
2021-05-19,115.1791
2021-05-18,115.1791
2021-05-17,115.1791
2021-05-14,115.1791
2021-05-13,114.7786
2021-05-12,114.7786
2021-05-11,114.7786
2021-05-10,114.7786
2021-05-07,114.6560
2021-05-06,114.6560
2021-05-05,113.4857
2021-05-04,113.4857
2021-05-03,111.8567
2021-04-30,109.6624
2021-04-29,109.6624
2021-04-28,109.1761
2021-04-27,109.1761
2021-04-26,108.6225
2021-04-23,108.6225
2021-04-22,108.6225
2021-04-21,108.6225
2021-04-20,106.4914
2021-04-19,105.5307
2021-04-16,105.6097
2021-04-15,105.6097
2021-04-14,105.6097
2021-04-13,105.6097
2021-04-12,106.4203
2021-04-09,106.5982
2021-04-08,106.5349
2021-04-07,105.5663
2021-04-06,105.5030
2021-04-05,105.5030
2021-04-01,104.8862
2021-03-31,104.8862
2021-03-30,104.8862
2021-03-29,104.6253
2021-03-26,104.6253
