time,WMA
2006-02-03,42.9700
2006-01-27,43.3354
2006-01-20,43.6990
2006-01-13,43.9252
2006-01-06,44.0234
2005-12-30,44.2629
2005-12-23,44.3931
2005-12-16,44.5261
2005-12-09,44.2375
2005-12-02,43.7213
2005-11-25,43.0802
2005-11-18,42.4885
2005-11-11,42.1676
2005-11-04,41.9446
2005-10-28,41.8826
2005-10-21,41.6548
2005-10-14,41.5111
2005-10-07,41.4872
2005-09-30,41.5926
2005-09-23,41.9102
2005-09-16,42.0884
2005-09-09,42.0813
2005-09-02,42.1440
2005-08-26,42.1396
2005-08-19,41.7977
2005-08-12,41.4766
2005-08-05,40.9480
2005-07-29,40.4137
2005-07-22,39.6856
2005-07-15,39.0809
2005-07-08,38.6934
2005-07-01,38.7825
2005-06-24,38.9337
2005-06-17,38.9996
2005-06-10,39.3526
2005-06-03,39.7213
2005-05-27,40.1329
2005-05-20,40.7128
2005-05-13,41.7717
2005-05-06,42.7868
2005-04-29,43.8167
2005-04-22,45.1674
2005-04-15,46.4987
2005-04-08,46.9338
2005-04-01,47.1367
2005-03-24,47.3064
2005-03-18,47.6545
2005-03-11,47.8762
2005-03-04,48.0667
2005-02-25,48.2743
2005-02-18,48.5062
2005-02-11,48.7253
2005-02-04,48.8555
2005-01-28,49.0571
2005-01-21,49.3695
2005-01-14,49.5825
2005-01-07,49.5351
2004-12-31,49.0803
2004-12-23,48.6184
2004-12-17,48.1906
2004-12-10,47.6228
2004-12-03,46.9314
2004-11-26,46.3304
2004-11-19,45.7195
2004-11-12,44.9375
2004-11-05,44.3207
2004-10-29,43.9774
2004-10-22,43.7835
2004-10-15,43.8668
2004-10-08,43.7193
2004-10-01,43.5288
2004-09-24,43.6102
2004-09-17,43.5559
2004-09-10,43.3463
2004-09-03,43.3956
2004-08-27,43.5095
2004-08-20,43.6050
2004-08-13,43.8883
2004-08-06,44.2331
2004-07-30,44.2879
2004-07-23,44.5346
2004-07-16,44.8426
2004-07-09,45.2337
2004-07-02,45.4303
2004-06-25,45.3474
2004-06-18,45.2273
2004-06-10,45.1743
2004-06-04,45.2796
2004-05-28,45.4741
2004-05-21,45.7435
2004-05-14,46.3426
2004-05-07,46.8089
2004-04-30,47.3285
2004-04-23,47.6910
2004-04-16,48.0155
2004-04-08,48.2425
2004-04-02,48.4630
2004-03-26,48.7990
2004-03-19,49.2925
2004-03-12,49.6557
2004-03-05,49.6255
2004-02-27,49.5590
2004-02-20,49.3708
2004-02-13,48.8533
2004-02-06,48.3195
2004-01-30,47.7217
2004-01-23,47.1656
2004-01-16,46.7256
2004-01-09,46.7154
2004-01-02,46.6010
2003-12-26,46.3486
2003-12-19,46.1222
2003-12-12,45.8138
2003-12-05,45.7615
2003-11-28,45.6849
2003-11-21,45.7862
2003-11-14,45.7920
2003-11-07,45.7627
2003-10-31,45.6507
2003-10-24,45.5779
2003-10-17,45.3761
2003-10-10,44.7121
2003-10-03,44.1993
2003-09-26,43.7667
2003-09-19,42.9986
2003-09-12,42.4184
2003-09-05,41.9100
2003-08-29,41.9812
2003-08-22,42.0116
2003-08-15,42.0955
2003-08-08,42.3619
2003-08-01,42.6889
2003-07-25,42.7871
