time,TEMA
2008-11-21,42.8206
2008-11-14,45.1217
2008-11-07,45.7721
2008-10-31,45.6355
2008-10-24,50.3177
2008-10-17,53.2921
2008-10-10,58.6274
2008-10-03,62.8211
2008-09-26,63.2712
2008-09-19,63.6648
2008-09-12,65.4451
2008-09-05,67.1693
2008-08-29,67.9632
2008-08-22,68.5308
2008-08-15,68.5996
2008-08-08,67.9486
2008-08-01,67.7151
2008-07-25,66.9956
2008-07-18,65.1372
2008-07-11,65.2856
2008-07-03,66.2947
2008-06-27,67.6289
2008-06-20,68.4531
2008-06-13,68.6869
2008-06-06,68.9363
2008-05-30,67.9782
2008-05-23,68.0909
2008-05-16,66.7802
2008-05-09,66.0878
2008-05-02,65.4681
2008-04-25,64.3279
2008-04-18,62.8445
2008-04-11,62.6343
2008-04-04,62.1490
2008-03-28,62.1806
2008-03-20,60.4518
2008-03-14,59.7932
2008-03-07,58.6940
2008-02-29,56.6658
2008-02-22,55.9505
2008-02-15,55.2254
2008-02-08,55.5786
2008-02-01,54.3203
2008-01-25,53.9553
2008-01-18,55.3746
2008-01-11,55.4595
2008-01-04,57.3036
2007-12-28,56.8912
2007-12-21,55.6329
2007-12-14,55.9306
2007-12-07,55.1668
2007-11-30,55.4188
2007-11-23,56.2868
2007-11-16,57.6999
2007-11-09,60.7345
2007-11-02,60.6642
2007-10-26,60.9889
2007-10-19,62.4922
2007-10-12,62.1808
2007-10-05,62.3159
2007-09-28,61.9074
2007-09-21,61.4830
2007-09-14,61.5631
2007-09-07,61.0827
2007-08-31,60.2229
2007-08-24,60.0645
2007-08-17,60.4948
2007-08-10,60.2870
2007-08-03,60.3690
2007-07-27,59.0736
2007-07-20,57.3151
2007-07-13,56.8730
2007-07-06,56.0943
2007-06-29,56.0649
2007-06-22,56.1878
2007-06-15,56.0986
2007-06-08,56.7240
2007-06-01,56.2474
2007-05-25,55.7511
2007-05-18,54.3405
2007-05-11,52.6372
2007-05-04,51.2824
2007-04-27,49.8386
2007-04-20,49.7451
2007-04-13,49.7503
2007-04-05,49.2703
2007-03-30,49.2694
2007-03-23,49.1879
2007-03-16,49.4205
2007-03-09,50.0317
2007-03-02,52.0200
2007-02-23,52.2421
2007-02-16,52.2369
2007-02-09,52.1194
2007-02-02,51.8538
2007-01-26,51.7664
2007-01-19,52.1467
2007-01-12,51.5622
2007-01-05,50.9153
2006-12-29,50.3315
2006-12-22,50.1376
2006-12-15,49.7687
2006-12-08,49.5510
2006-12-01,49.5443
2006-11-24,49.3326
2006-11-17,48.5103
2006-11-10,47.8714
2006-11-03,46.9884
2006-10-27,45.9825
2006-10-20,44.4783
2006-10-13,43.5677
2006-10-06,43.1901
2006-09-29,43.0580
2006-09-22,42.8454
2006-09-15,42.1507
2006-09-08,41.7635
2006-09-01,40.9469
2006-08-25,40.1698
2006-08-18,39.1654
2006-08-11,38.9940
2006-08-04,38.9654
2006-07-28,38.6915
2006-07-21,38.8803
2006-07-14,39.7750
2006-07-07,40.1572
2006-06-30,40.2932
2006-06-23,40.7142
2006-06-16,41.0209
2006-06-09,41.6414
2006-06-02,42.0852
2006-05-26,42.3175
2006-05-19,42.8091
2006-05-12,42.8808
2006-05-05,42.6990
2006-04-28,42.5326
2006-04-21,42.7329
2006-04-13,42.8588
2006-04-07,42.7840
2006-03-31,42.5842
2006-03-24,42.1949
2006-03-17,41.5824
2006-03-10,41.2419
2006-03-03,41.3017
2006-02-24,41.4494
2006-02-17,41.6755
2006-02-10,41.6243
2006-02-03,42.1459
2006-01-27,42.5793
2006-01-20,43.1396
2006-01-13,43.4724
2006-01-06,43.5888
2005-12-30,44.2627
2005-12-23,44.8814
2005-12-16,45.8389
2005-12-09,45.8702
2005-12-02,45.3508
2005-11-25,44.3656
2005-11-18,43.2654
2005-11-11,42.7626
2005-11-04,42.4597
2005-10-28,42.5387
2005-10-21,42.0630
2005-10-14,41.6175
2005-10-07,41.3413
2005-09-30,41.2878
2005-09-23,41.8709
2005-09-16,42.2253
2005-09-09,42.2789
2005-09-02,42.7872
2005-08-26,43.3861
2005-08-19,43.2520
2005-08-12,43.2739
2005-08-05,42.7046
2005-07-29,42.0025
2005-07-22,40.5724
2005-07-15,39.1274
2005-07-08,37.9097
2005-07-01,37.9036
2005-06-24,38.0963
2005-06-17,37.7674
2005-06-10,37.9118
2005-06-03,37.7925
2005-05-27,37.4767
2005-05-20,37.2774
2005-05-13,38.2773
2005-05-06,39.1916
2005-04-29,40.2355
2005-04-22,42.5110
2005-04-15,45.3396
2005-04-08,46.0744
2005-04-01,46.2687
2005-03-24,46.3855
2005-03-18,47.0479
2005-03-11,47.3450
2005-03-04,47.5200
2005-02-25,47.7418
2005-02-18,48.0416
2005-02-11,48.3290
2005-02-04,48.4115
2005-01-28,48.7741
2005-01-21,49.6228
2005-01-14,50.5097
2005-01-07,51.0166
2004-12-31,50.5753
2004-12-23,50.2652
2004-12-17,50.1647
2004-12-10,49.7334
2004-12-03,48.9737
2004-11-26,48.4116
2004-11-19,47.6998
2004-11-12,46.2903
2004-11-05,45.0322
2004-10-29,44.2880
2004-10-22,43.8492
2004-10-15,44.2446
2004-10-08,43.9704
2004-10-01,43.4813
2004-09-24,43.7584
2004-09-17,43.7250
2004-09-10,43.1338
2004-09-03,43.0708
2004-08-27,43.0516
2004-08-20,42.8323
2004-08-13,43.0778
2004-08-06,43.5603
2004-07-30,43.2161
2004-07-23,43.4508
2004-07-16,43.9703
2004-07-09,44.9530
2004-07-02,45.5738
2004-06-25,45.4048
2004-06-18,44.9371
2004-06-10,44.4003
2004-06-04,44.1062
2004-05-28,43.9677
2004-05-21,43.9629
2004-05-14,44.8844
2004-05-07,45.5375
2004-04-30,46.4489
2004-04-23,46.9509
2004-04-16,47.3396
2004-04-08,47.4011
2004-04-02,47.3724
