time,DEMA
2009-10-16,66.4781
2009-10-09,65.4026
2009-10-02,65.4794
2009-09-25,65.1415
2009-09-18,64.5103
2009-09-11,64.5750
2009-09-04,64.3763
2009-08-28,64.2459
2009-08-21,63.3236
2009-08-14,62.7906
2009-08-07,61.6492
2009-07-31,60.0126
2009-07-24,58.2194
2009-07-17,56.3468
2009-07-10,56.9698
2009-07-02,57.7053
2009-06-26,57.5938
2009-06-19,57.5890
2009-06-12,56.9435
2009-06-05,56.2596
2009-05-29,55.2175
2009-05-22,55.1137
2009-05-15,54.7630
2009-05-08,54.4584
2009-05-01,53.1321
2009-04-24,52.6475
2009-04-17,51.7914
2009-04-09,50.6045
2009-04-03,48.8321
2009-03-27,48.5504
2009-03-20,47.7566
2009-03-13,47.2463
2009-03-06,48.1390
2009-02-27,47.7941
2009-02-20,47.7693
2009-02-13,47.1531
2009-02-06,45.3275
2009-01-30,44.2715
2009-01-23,43.0831
2009-01-16,42.7214
2009-01-09,42.3420
2009-01-02,41.4676
2008-12-26,41.4938
2008-12-19,41.2633
2008-12-12,41.2474
2008-12-05,41.3391
2008-11-28,41.9857
2008-11-21,44.2352
2008-11-14,46.5349
2008-11-07,47.7271
2008-10-31,48.4906
2008-10-24,52.5611
2008-10-17,55.3363
2008-10-10,59.5724
2008-10-03,62.7891
2008-09-26,63.3225
2008-09-19,63.8209
2008-09-12,65.2317
2008-09-05,66.5092
2008-08-29,67.0694
2008-08-22,67.4235
2008-08-15,67.4001
2008-08-08,66.8830
2008-08-01,66.6653
2008-07-25,66.1292
2008-07-18,64.8824
2008-07-11,65.0714
2008-07-03,65.8177
2008-06-27,66.7065
2008-06-20,67.1558
2008-06-13,67.1335
2008-06-06,67.0661
2008-05-30,66.1441
2008-05-23,65.9369
2008-05-16,64.7372
2008-05-09,63.9764
2008-05-02,63.2586
2008-04-25,62.1908
2008-04-18,60.9264
2008-04-11,60.5536
2008-04-04,59.9765
2008-03-28,59.7306
2008-03-20,58.2881
2008-03-14,57.6241
2008-03-07,56.6853
2008-02-29,55.1874
2008-02-22,54.6737
2008-02-15,54.2026
2008-02-08,54.4949
2008-02-01,53.7207
2008-01-25,53.6346
2008-01-18,54.7702
2008-01-11,54.9642
2008-01-04,56.3274
2007-12-28,56.1059
2007-12-21,55.3703
2007-12-14,55.7599
2007-12-07,55.4640
2007-11-30,55.9196
2007-11-23,56.8031
2007-11-16,58.0255
2007-11-09,60.2468
2007-11-02,60.2450
2007-10-26,60.5065
2007-10-19,61.5151
2007-10-12,61.2218
