time,TRIMA
2007-03-23,51.0650
2007-03-16,51.3475
2007-03-09,51.5100
2007-03-02,51.5203
2007-02-23,51.3723
2007-02-16,51.1553
2007-02-09,50.8256
2007-02-02,50.4283
2007-01-26,50.0445
2007-01-19,49.6589
2007-01-12,49.2551
2007-01-05,48.9070
2006-12-29,48.6122
2006-12-22,48.2561
2006-12-15,47.7662
2006-12-08,47.1625
2006-12-01,46.4517
2006-11-24,45.6540
2006-11-17,44.8122
2006-11-10,44.0759
2006-11-03,43.4627
2006-10-27,42.9821
2006-10-20,42.5355
2006-10-13,42.1277
2006-10-06,41.7273
2006-09-29,41.2686
2006-09-22,40.7296
2006-09-15,40.2283
2006-09-08,39.8771
2006-09-01,39.6282
2006-08-25,39.5219
2006-08-18,39.5833
2006-08-11,39.8080
2006-08-04,40.0810
2006-07-28,40.3712
2006-07-21,40.7160
2006-07-14,41.0916
2006-07-07,41.4474
2006-06-30,41.7638
2006-06-23,42.0581
2006-06-16,42.3088
2006-06-09,42.4915
2006-06-02,42.5955
2006-05-26,42.6753
2006-05-19,42.7402
2006-05-12,42.7361
2006-05-05,42.6781
2006-04-28,42.5734
2006-04-21,42.4312
2006-04-13,42.2262
2006-04-07,42.0381
2006-03-31,41.9118
2006-03-24,41.8758
2006-03-17,41.9305
2006-03-10,42.0593
2006-03-03,42.2620
2006-02-24,42.4842
2006-02-17,42.7596
2006-02-10,43.0694
2006-02-03,43.4480
2006-01-27,43.8543
2006-01-20,44.2358
2006-01-13,44.5136
2006-01-06,44.5964
2005-12-30,44.5005
2005-12-23,44.2011
2005-12-16,43.7753
2005-12-09,43.2823
2005-12-02,42.8051
2005-11-25,42.3915
2005-11-18,42.0560
2005-11-11,41.7878
2005-11-04,41.5711
2005-10-28,41.4806
2005-10-21,41.4823
2005-10-14,41.5837
2005-10-07,41.7615
2005-09-30,42.0308
2005-09-23,42.2875
2005-09-16,42.4214
2005-09-09,42.3595
2005-09-02,42.1021
2005-08-26,41.6548
2005-08-19,41.0137
2005-08-12,40.3273
2005-08-05,39.7253
2005-07-29,39.3212
2005-07-22,39.0211
2005-07-15,38.8706
2005-07-08,38.8638
2005-07-01,38.8921
2005-06-24,38.8934
2005-06-17,39.0963
