time,Real Lower Band,Real Middle Band,Real Upper Band
2018-04-20,94.9683,103.1900,111.4116
2018-04-13,96.8456,105.2907,113.7357
2018-04-06,96.2732,105.6463,115.0194
2018-03-29,97.6782,106.1824,114.6866
2018-03-23,98.1756,106.4682,114.7608
2018-03-16,102.8770,107.4653,112.0535
2018-03-09,99.4663,105.9950,112.5237
2018-03-02,100.1370,105.7379,111.3388
2018-02-23,96.6455,107.2651,117.8847
2018-02-16,97.0543,107.9785,118.9027
2018-02-09,97.6170,108.7059,119.7948
2018-02-02,104.8696,110.2576,115.6455
2018-01-26,100.2582,109.4980,118.7379
2018-01-19,97.7989,107.4888,117.1788
2018-01-12,96.1631,106.1525,116.1420
2018-01-05,97.3703,105.0247,112.6791
2017-12-29,101.8948,103.9782,106.0616
2017-12-22,101.2242,103.7642,106.3043
2017-12-15,98.9013,103.2863,107.6714
2017-12-08,97.6371,102.8341,108.0312
2017-12-01,97.8208,102.1940,106.5672
2017-11-24,99.1402,101.8422,104.5442
2017-11-17,94.2742,103.0104,111.7466
2017-11-10,92.5033,102.5604,112.6176
2017-11-03,90.6726,102.0016,113.3307
2017-10-27,88.4020,101.1303,113.8585
2017-10-20,86.9224,99.9841,113.0459
2017-10-13,95.8621,97.6717,99.4814
2017-10-06,94.4217,97.0484,99.6751
2017-09-29,94.7083,96.7267,98.7451
2017-09-22,94.6573,96.5470,98.4368
2017-09-15,92.1986,95.8191,99.4397
2017-09-08,92.2765,95.4197,98.5628
2017-09-01,92.2674,95.5797,98.8920
2017-08-25,92.4131,95.4058,98.3985
2017-08-18,91.7564,95.6476,99.5388
2017-08-11,89.6022,97.3808,105.1593
2017-08-04,90.5347,98.6546,106.7745
2017-07-28,91.7818,99.8047,107.8276
2017-07-21,95.6989,101.1073,106.5158
2017-07-14,100.6475,102.2084,103.7692
2017-07-07,100.6349,102.1898,103.7446
2017-06-30,99.9469,102.0717,104.1965
2017-06-23,99.4881,101.8940,104.2998
2017-06-16,98.9601,101.6114,104.2627
2017-06-09,98.5734,100.9468,103.3202
2017-06-02,98.8345,100.8732,102.9119
2017-05-26,96.0971,101.7599,107.4226
2017-05-19,95.6639,102.6000,109.5361
2017-05-12,92.8743,104.7097,116.5451
2017-05-05,94.8375,107.3759,119.9143
2017-04-28,98.3195,109.8837,121.4478
2017-04-21,101.6477,111.6623,121.6770
2017-04-13,109.5562,113.6683,117.7803
2017-04-07,110.9866,114.7586,118.5306
2017-03-31,111.1688,115.7977,120.4266
2017-03-24,111.3103,116.7448,122.1793
2017-03-17,113.5153,117.6433,121.7714
2017-03-10,115.4993,118.0414,120.5835
2017-03-03,112.7398,117.5952,122.4507
2017-02-24,111.7838,117.0504,122.3169
2017-02-17,107.7035,115.4550,123.2065
2017-02-10,104.4692,113.5306,122.5920
2017-02-03,104.7067,112.1530,119.5994
2017-01-27,103.2067,110.8719,118.5370
2017-01-20,106.1079,109.4917,112.8755
2017-01-13,106.6227,108.9938,111.3650
2017-01-06,106.4512,108.8870,111.3228
2016-12-30,102.5633,107.6476,112.7319
2016-12-23,102.0465,107.2761,112.5057
2016-12-16,100.8293,106.4524,112.0755
2016-12-09,101.0804,105.7408,110.4013
2016-12-02,95.5236,103.7269,111.9301
2016-11-25,92.4309,102.5833,112.7357
2016-11-18,90.2510,100.6482,111.0454
2016-11-11,91.0668,99.6940,108.3213
2016-11-04,94.8069,98.7828,102.7587
2016-10-28,93.6561,99.6120,105.5679
2016-10-21,94.1702,99.9181,105.6661
2016-10-14,97.0658,100.4619,103.8580
2016-10-07,97.3981,100.6221,103.8461
2016-09-30,96.8054,101.1232,105.4410
2016-09-23,96.9308,101.0548,105.1788
2016-09-16,97.1237,101.7083,106.2930
2016-09-09,98.7435,102.7559,106.7683
2016-09-02,100.7803,103.5837,106.3872
2016-08-26,100.6629,103.5442,106.4256
2016-08-19,101.7228,103.8493,105.9758
2016-08-12,100.8138,103.6389,106.4640
2016-08-05,96.5725,102.5006,108.4287
2016-07-29,93.8371,101.0727,108.3084
2016-07-22,88.7249,99.2761,109.8273
2016-07-15,89.8076,97.9853,106.1630
2016-07-08,91.9852,97.0364,102.0876
2016-07-01,92.3374,96.8353,101.3333
2016-06-24,92.2962,96.8981,101.5000
2016-06-17,92.8824,96.9826,101.0828
2016-06-10,91.5077,96.4358,101.3639
2016-06-03,90.6516,95.7853,100.9190
2016-05-27,89.5407,94.7193,99.8979
2016-05-20,91.8164,93.9845,96.1526
2016-05-13,90.8744,94.3740,97.8735
2016-05-06,90.8835,94.4026,97.9217
2016-04-29,90.4108,94.8885,99.3662
2016-04-22,91.7202,95.1435,98.5667
2016-04-15,90.9709,94.9646,98.9583
2016-04-08,87.4788,93.7773,100.0758
2016-04-01,82.7243,92.3121,101.8999
2016-03-24,78.3936,89.7130,101.0323
