time,TRANGE
2023-07-07,1.9457
2023-07-06,2.4865
2023-07-05,1.5899
2023-07-03,1.3680
2023-06-30,1.4836
2023-06-29,2.4587
2023-06-28,1.3218
2023-06-27,1.9596
2023-06-26,1.9411
2023-06-23,1.8394
2023-06-22,2.7823
2023-06-21,2.4680
2023-06-20,1.4697
2023-06-16,1.8477
2023-06-15,1.5020
2023-06-14,1.8394
2023-06-13,2.0058
2023-06-12,1.2201
2023-06-09,1.7840
2023-06-08,1.8209
2023-06-07,2.0798
2023-06-06,0.9798
2023-06-05,1.2109
2023-06-02,3.0503
2023-06-01,2.1861
2023-05-31,1.8672
2023-05-30,1.6730
2023-05-26,2.6806
2023-05-25,2.0520
2023-05-24,2.5050
2023-05-23,1.8117
2023-05-22,0.9613
2023-05-19,1.9781
2023-05-18,1.2207
2023-05-17,2.2092
2023-05-16,1.3033
2023-05-15,1.2461
2023-05-12,1.8117
2023-05-11,1.5621
2023-05-10,1.2848
2023-05-09,1.2109
2023-05-08,1.2492
2023-05-05,1.3951
2023-05-04,1.6082
2023-05-03,2.1064
2023-05-02,2.8997
2023-05-01,0.6292
2023-04-28,1.4681
2023-04-27,1.4270
2023-04-26,1.2994
2023-04-25,1.3039
2023-04-24,1.3586
2023-04-21,1.3039
2023-04-20,4.6869
2023-04-19,2.2614
2023-04-18,1.2128
2023-04-17,1.7507
2023-04-14,2.3070
2023-04-13,2.3161
2023-04-12,2.4763
2023-04-11,0.8435
2023-04-10,1.6778
2023-04-06,2.0836
2023-04-05,1.1307
2023-04-04,1.1488
2023-04-03,1.6778
2023-03-31,1.8328
2023-03-30,2.1702
2023-03-29,1.0669
2023-03-28,0.7842
2023-03-27,4.5273
2023-03-24,2.2978
2023-03-23,2.1246
2023-03-22,2.9225
2023-03-21,1.3586
2023-03-20,2.2523
2023-03-17,1.6140
2023-03-16,2.6443
2023-03-15,2.6808
2023-03-14,3.1367
2023-03-13,3.0456
2023-03-10,1.9696
2023-03-09,2.3252
2023-03-08,1.0897
2023-03-07,2.0334
2023-03-06,1.1580
2023-03-03,1.0349
2023-03-02,1.3769
2023-03-01,1.5799
2023-02-28,1.3404
2023-02-27,1.5866
2023-02-24,1.4316
2023-02-23,2.5896
2023-02-22,1.5501
2023-02-21,3.0638
2023-02-17,1.5410
2023-02-16,1.6504
2023-02-15,1.2538
2023-02-14,2.0972
2023-02-13,1.6322
2023-02-10,2.0699
2023-02-09,2.1793
2023-02-08,1.4232
2023-02-07,1.7564
2023-02-06,1.7925
2023-02-03,1.2790
2023-02-02,1.6844
2023-02-01,2.6932
2023-01-31,1.7024
2023-01-30,1.9186
2023-01-27,1.5474
2023-01-26,7.0077
2023-01-25,1.9186
2023-01-24,2.4770
2023-01-23,1.7339
2023-01-20,1.2160
2023-01-19,2.2338
2023-01-18,4.4721
2023-01-17,1.9546
2023-01-13,1.8825
2023-01-12,1.9276
2023-01-11,1.8735
2023-01-10,1.7564
2023-01-09,1.8645
2023-01-06,2.8283
2023-01-05,2.3329
2023-01-04,2.0244
2023-01-03,1.2790
2022-12-30,1.4502
2022-12-29,2.0176
2022-12-28,2.5761
2022-12-27,1.3421
2022-12-23,2.0325
2022-12-22,3.1706
2022-12-21,1.9050
2022-12-20,2.7788
2022-12-19,2.9229
2022-12-16,3.0535
2022-12-15,7.4581
2022-12-14,3.1165
2022-12-13,3.6029
2022-12-12,2.0423
2022-12-09,1.2340
2022-12-08,1.6961
2022-12-07,1.6348
2022-12-06,0.9908
2022-12-05,1.9186
2022-12-02,1.2880
2022-12-01,2.4050
2022-11-30,3.5759
2022-11-29,1.3212
2022-11-28,2.1933
2022-11-25,1.2511
2022-11-23,1.9456
2022-11-22,2.4050
2022-11-21,1.3313
2022-11-18,2.1347
2022-11-17,2.6391
2022-11-16,0.8484
2022-11-15,3.7479
2022-11-14,3.5129
2022-11-11,2.8553
2022-11-10,3.5849
2022-11-09,1.7654
2022-11-08,2.3052
2022-11-07,1.9492
2022-11-04,2.9015
2022-11-03,2.5455
2022-11-02,2.9994
2022-11-01,1.7356
2022-10-31,1.9358
2022-10-28,3.6416
2022-10-27,1.7400
2022-10-26,2.7173
2022-10-25,1.7801
2022-10-24,2.9015
2022-10-21,2.8971
2022-10-20,5.7408
2022-10-19,1.7378
2022-10-18,2.1539
2022-10-17,2.5233
2022-10-14,2.4031
2022-10-13,5.8787
2022-10-12,1.4330
2022-10-11,2.0382
2022-10-10,2.5989
2022-10-07,3.7026
2022-10-06,3.5335
2022-10-05,1.9848
2022-10-04,3.6848
2022-10-03,3.0261
2022-09-30,3.4000
2022-09-29,1.9492
2022-09-28,3.0439
2022-09-27,2.5544
2022-09-26,2.2340
2022-09-23,3.1775
2022-09-22,1.8691
2022-09-21,2.5989
2022-09-20,1.9670
2022-09-19,1.5843
2022-09-16,3.2932
2022-09-15,2.4832
2022-09-14,1.9180
2022-09-13,3.4615
2022-09-12,1.6021
2022-09-09,1.2728
2022-09-08,1.7356
2022-09-07,1.4122
2022-09-06,1.5665
2022-09-02,2.9549
2022-09-01,1.8489
2022-08-31,1.4241
2022-08-30,1.3173
2022-08-29,1.6466
2022-08-26,3.4178
2022-08-25,1.2060
2022-08-24,1.7801
2022-08-23,1.2283
2022-08-22,2.5811
2022-08-19,1.4953
2022-08-18,1.2194
2022-08-17,1.8824
2022-08-16,2.5974
2022-08-15,2.6256
2022-08-12,1.8780
2022-08-11,1.5353
2022-08-10,2.0560
2022-08-09,1.6210
2022-08-08,1.1689
2022-08-05,1.4061
2022-08-04,1.1601
2022-08-03,1.3552
2022-08-02,1.9950
2022-08-01,1.7577
2022-07-29,1.5643
2022-07-28,1.0581
2022-07-27,1.6259
2022-07-26,1.4677
2022-07-25,1.0772
2022-07-22,2.2938
2022-07-21,3.5593
2022-07-20,2.4783
2022-07-19,9.1488
2022-07-18,2.2196
2022-07-15,1.8192
2022-07-14,3.8757
2022-07-13,2.0916
2022-07-12,2.6233
2022-07-11,1.5292
2022-07-08,1.3185
2022-07-07,2.8518
2022-07-06,1.7665
2022-07-05,5.1412
2022-07-01,2.1180
2022-06-30,2.7947
2022-06-29,3.5341
2022-06-28,2.4915
2022-06-27,1.6522
2022-06-24,3.4539
2022-06-23,1.8631
2022-06-22,1.8895
2022-06-21,3.0584
2022-06-17,3.6296
2022-06-16,2.3465
2022-06-15,2.5223
2022-06-14,1.8369
2022-06-13,3.3484
2022-06-10,2.3817
2022-06-09,2.7332
2022-06-08,2.3289
2022-06-07,1.7753
2022-06-06,3.1199
2022-06-03,2.4954
2022-06-02,3.0232
2022-06-01,1.7137
2022-05-31,2.6541
2022-05-27,2.5042
2022-05-26,2.7771
2022-05-25,1.7225
2022-05-24,3.4714
2022-05-23,3.0496
2022-05-20,4.0163
2022-05-19,3.7175
2022-05-18,5.4488
2022-05-17,2.9353
2022-05-16,3.6033
2022-05-13,2.4168
2022-05-12,2.8211
2022-05-11,3.3660
2022-05-10,6.1343
2022-05-09,2.6629
2022-05-06,2.1878
2022-05-05,2.2920
2022-05-04,4.9747
2022-05-03,1.3978
2022-05-02,2.5004
2022-04-29,3.2470
2022-04-28,1.8927
2022-04-27,2.1618
2022-04-26,3.2123
2022-04-25,3.8721
2022-04-22,2.6826
2022-04-21,3.9329
2022-04-20,9.0378
2022-04-19,2.9518
2022-04-18,1.6147
2022-04-14,3.8548
2022-04-13,1.5280
2022-04-12,1.5250
2022-04-11,1.7320
2022-04-08,1.3110
2022-04-07,2.3094
2022-04-06,1.9664
2022-04-05,2.2312
2022-04-04,1.3196
2022-04-01,1.9187
2022-03-31,1.8492
2022-03-30,1.4672
2022-03-29,2.0923
2022-03-28,1.6496
2022-03-25,1.8666
2022-03-24,1.3631
2022-03-23,0.9290
2022-03-22,1.2589
2022-03-21,2.0316
2022-03-18,2.2226
2022-03-17,1.5280
2022-03-16,2.2349
2022-03-15,2.3613
2022-03-14,2.1488
2022-03-11,2.4830
2022-03-10,2.6870
2022-03-09,2.1010
2022-03-08,3.0604
2022-03-07,1.9838
2022-03-04,2.7259
2022-03-03,2.4353
2022-03-02,2.8563
2022-03-01,2.3354
2022-02-28,2.7272
2022-02-25,2.4418
2022-02-24,2.8563
2022-02-23,2.4570
2022-02-22,2.0142
2022-02-18,1.5888
2022-02-17,3.7593
2022-02-16,1.8927
2022-02-15,1.7971
2022-02-14,3.1428
2022-02-11,2.0228
2022-02-10,2.9432
2022-02-09,1.3036
2022-02-08,1.4923
2022-02-07,1.3313
2022-02-04,2.2342
2022-02-03,2.5121
2022-02-02,1.9683
2022-02-01,2.9675
2022-01-31,1.8868
2022-01-28,2.3500
2022-01-27,2.2899
2022-01-26,3.3792
2022-01-25,7.7498
2022-01-24,4.4229
2022-01-21,2.2299
2022-01-20,1.9808
2022-01-19,2.0584
2022-01-18,2.0841
2022-01-14,1.5781
2022-01-13,2.1356
2022-01-12,2.6587
2022-01-11,6.0550
2022-01-10,2.4186
2022-01-07,1.8446
2022-01-06,5.0601
2022-01-05,3.7051
2022-01-04,3.4735
2022-01-03,2.2856
2021-12-31,1.1836
2021-12-30,0.8920
2021-12-29,1.6381
2021-12-28,1.3980
2021-12-27,1.4580
2021-12-23,1.2350
2021-12-22,1.8783
2021-12-21,1.9517
2021-12-20,2.3157
2021-12-17,2.9424
2021-12-16,3.0274
2021-12-15,2.2599
2021-12-14,2.3414
2021-12-13,3.0579
2021-12-10,1.6896
2021-12-09,1.8525
2021-12-08,1.5952
2021-12-07,1.8611
2021-12-06,1.9812
2021-12-03,2.1098
2021-12-02,1.2179
2021-12-01,1.7839
2021-11-30,2.3928
2021-11-29,3.2591
2021-11-26,1.8611
2021-11-24,1.0206
2021-11-23,1.6295
2021-11-22,3.1047
2021-11-19,1.1921
2021-11-18,1.7582
2021-11-17,1.3294
2021-11-16,1.2693
2021-11-15,1.5867
2021-11-12,1.5952
2021-11-11,1.4661
2021-11-10,2.1424
2021-11-09,2.2642
2021-11-08,1.0577
2021-11-05,2.4708
2021-11-04,2.9108
2021-11-03,1.3024
2021-11-02,1.8282
2021-11-01,2.0002
2021-10-29,1.1406
2021-10-28,1.3671
2021-10-27,2.3217
2021-10-26,1.2498
2021-10-25,1.3833
2021-10-22,2.9438
2021-10-21,11.1636
2021-10-20,1.2134
2021-10-19,1.9576
2021-10-18,2.5733
2021-10-15,1.6665
2021-10-14,2.5563
2021-10-13,1.4157
2021-10-12,1.7231
2021-10-11,1.3591
2021-10-08,2.1033
2021-10-07,1.5087
2021-10-06,2.0062
2021-10-05,1.9091
2021-10-04,2.9526
2021-10-01,4.0772
2021-09-30,1.6745
2021-09-29,2.8233
2021-09-28,2.0046
2021-09-27,1.2822
2021-09-24,1.4157
2021-09-23,2.2570
2021-09-22,1.9415
2021-09-21,2.1923
2021-09-20,1.9819
2021-09-17,1.1164
2021-09-16,1.8121
2021-09-15,1.7231
2021-09-14,2.6129
2021-09-13,1.5936
2021-09-10,1.9172
2021-09-09,1.1366
2021-09-08,1.2053
2021-09-07,1.6411
2021-09-03,0.9465
2021-09-02,0.8251
2021-09-01,0.9303
2021-08-31,1.6098
2021-08-30,0.8615
2021-08-27,0.9586
2021-08-26,1.6907
2021-08-25,1.0840
2021-08-24,0.7362
2021-08-23,1.0921
2021-08-20,1.7069
2021-08-19,1.8282
2021-08-18,2.4511
2021-08-17,2.0224
2021-08-16,1.2215
2021-08-13,0.9222
2021-08-12,0.8683
2021-08-11,1.1232
2021-08-10,1.1900
2021-08-09,1.2337
2021-08-06,1.2955
2021-08-05,0.9516
2021-08-04,1.3674
2021-08-03,2.6229
2021-08-02,1.6793
2021-07-30,0.9116
2021-07-29,1.0876
2021-07-28,1.1675
2021-07-27,1.6313
2021-07-26,1.4954
2021-07-23,1.0956
2021-07-22,1.1195
2021-07-21,1.3914
2021-07-20,5.5977
2021-07-19,2.1520
2021-07-16,1.9272
2021-07-15,1.3271
2021-07-14,1.4576
2021-07-13,1.0316
2021-07-12,1.4753
2021-07-09,0.9916
2021-07-08,2.9188
2021-07-07,1.2555
2021-07-06,2.6549
2021-07-02,5.9896
2021-07-01,0.7437
2021-06-30,1.7753
2021-06-29,1.3115
2021-06-28,1.9095
2021-06-25,1.5874
2021-06-24,1.2635
2021-06-23,1.5434
2021-06-22,1.1675
2021-06-21,3.1587
2021-06-18,2.0472
2021-06-17,2.2231
2021-06-16,2.0312
2021-06-15,1.1435
2021-06-14,2.0991
2021-06-11,1.1795
2021-06-10,2.4630
2021-06-09,1.7993
2021-06-08,1.7433
2021-06-07,1.2555
2021-06-04,1.5993
2021-06-03,1.4714
2021-06-02,1.3115
2021-06-01,1.6713
2021-05-28,0.6757
2021-05-27,1.1115
2021-05-26,0.7592
2021-05-25,1.4394
2021-05-24,0.9676
2021-05-21,1.4546
2021-05-20,2.1991
2021-05-19,2.3910
2021-05-18,1.6553
2021-05-17,1.1755
2021-05-14,1.3834
2021-05-13,2.8948
2021-05-12,2.4630
2021-05-11,2.6149
2021-05-10,2.3350
2021-05-07,1.7555
2021-05-06,2.6372
2021-05-05,0.7670
2021-05-04,1.7871
2021-05-03,3.0602
2021-04-30,2.9179
2021-04-29,4.5548
2021-04-28,1.0992
2021-04-27,1.4313
