time,ATR
2009-05-06,1.4221
2009-05-05,1.4575
2009-05-04,1.5157
2009-05-01,1.5443
2009-04-30,1.5842
2009-04-29,1.5745
2009-04-28,1.5587
2009-04-27,1.5355
2009-04-24,1.5549
2009-04-23,1.5890
2009-04-22,1.5887
2009-04-21,1.5958
2009-04-20,1.5426
2009-04-17,1.5766
2009-04-16,1.6012
2009-04-15,1.5982
2009-04-14,1.6047
2009-04-13,1.6591
2009-04-09,1.6774
2009-04-08,1.7159
2009-04-07,1.7328
2009-04-06,1.7411
2009-04-03,1.7838
2009-04-02,1.7997
2009-04-01,1.7581
2009-03-31,1.7987
2009-03-30,1.7669
2009-03-27,1.7819
2009-03-26,1.6710
2009-03-25,1.7400
2009-03-24,1.7188
2009-03-23,1.7676
2009-03-20,1.6486
2009-03-19,1.6595
2009-03-18,1.7115
2009-03-17,1.6992
2009-03-16,1.7288
2009-03-13,1.7532
2009-03-12,1.8322
2009-03-11,1.8453
2009-03-10,1.8713
2009-03-09,1.8602
2009-03-06,1.8479
2009-03-05,1.8075
2009-03-04,1.8174
2009-03-03,1.8076
2009-03-02,1.8237
2009-02-27,1.8292
2009-02-26,1.7532
2009-02-25,1.7113
2009-02-24,1.6673
2009-02-23,1.6731
2009-02-20,1.5904
2009-02-19,1.6075
2009-02-18,1.5786
2009-02-17,1.6257
2009-02-13,1.6134
2009-02-12,1.6713
2009-02-11,1.6765
2009-02-10,1.6916
2009-02-09,1.6630
2009-02-06,1.6980
2009-02-05,1.6046
2009-02-04,1.6470
2009-02-03,1.6473
2009-02-02,1.6280
2009-01-30,1.6645
2009-01-29,1.7013
2009-01-28,1.7176
2009-01-27,1.7156
2009-01-26,1.7874
2009-01-23,1.7949
2009-01-22,1.8147
2009-01-21,1.8189
2009-01-20,1.5653
2009-01-16,1.5565
2009-01-15,1.5674
2009-01-14,1.5827
2009-01-13,1.5724
2009-01-12,1.6197
2009-01-09,1.6551
2009-01-08,1.6495
2009-01-07,1.6880
2009-01-06,1.7316
2009-01-05,1.6995
2009-01-02,1.7693
2008-12-31,1.7541
2008-12-30,1.8276
2008-12-29,1.8705
2008-12-26,1.9309
2008-12-24,2.0271
2008-12-23,2.1299
2008-12-22,2.1841
2008-12-19,2.2212
2008-12-18,2.3000
2008-12-17,2.3264
2008-12-16,2.3985
2008-12-15,2.4165
2008-12-12,2.4576
2008-12-11,2.4470
2008-12-10,2.5089
2008-12-09,2.5726
2008-12-08,2.6382
