time,ULTOSC
2023-01-31,41.3840
2023-01-30,41.2093
2023-01-27,35.0956
2023-01-26,34.3034
2023-01-25,41.9157
2023-01-24,40.4807
2023-01-23,42.5131
2023-01-20,46.3663
2023-01-19,43.7407
2023-01-18,47.0136
2023-01-17,56.3724
2023-01-13,61.3306
2023-01-12,59.5205
2023-01-11,62.2225
2023-01-10,59.8729
2023-01-09,51.3422
2023-01-06,55.8155
2023-01-05,51.8986
2023-01-04,53.8380
2023-01-03,53.6012
2022-12-30,56.6149
2022-12-29,53.5776
2022-12-28,52.2288
2022-12-27,48.4575
2022-12-23,46.8453
2022-12-22,42.9953
2022-12-21,43.7189
2022-12-20,42.8366
2022-12-19,38.4273
2022-12-16,37.9317
2022-12-15,38.6018
2022-12-14,47.6861
2022-12-13,48.8092
2022-12-12,54.5311
2022-12-09,52.8710
2022-12-08,56.5212
2022-12-07,56.6408
2022-12-06,54.8911
2022-12-05,51.8023
2022-12-02,57.2365
2022-12-01,55.2833
2022-11-30,56.3828
2022-11-29,55.8353
2022-11-28,55.9325
2022-11-25,61.2551
2022-11-23,62.8027
2022-11-22,65.4334
2022-11-21,64.9735
2022-11-18,65.4346
2022-11-17,65.0194
2022-11-16,63.4926
2022-11-15,63.7145
2022-11-14,61.5005
2022-11-11,58.1243
2022-11-10,58.6597
2022-11-09,54.4631
2022-11-08,61.6619
2022-11-07,58.4833
2022-11-04,57.8983
2022-11-03,56.6846
2022-11-02,62.0911
2022-11-01,71.1039
2022-10-31,72.4430
2022-10-28,69.3244
2022-10-27,64.9963
2022-10-26,65.8246
2022-10-25,60.5527
2022-10-24,63.2994
2022-10-21,60.7874
2022-10-20,58.8905
2022-10-19,48.9201
2022-10-18,47.3435
2022-10-17,44.5408
2022-10-14,44.7170
2022-10-13,51.4509
2022-10-12,43.9348
2022-10-11,41.8889
2022-10-10,41.5922
2022-10-07,46.0996
2022-10-06,48.6523
2022-10-05,52.0457
2022-10-04,48.3802
2022-10-03,41.2103
2022-09-30,32.9848
2022-09-29,37.3338
2022-09-28,39.0229
2022-09-27,39.4979
2022-09-26,40.7300
2022-09-23,43.4827
2022-09-22,42.0120
2022-09-21,45.0012
2022-09-20,51.0597
2022-09-19,54.8492
2022-09-16,54.1837
