time,ROC
2022-03-03,-2.5159
2022-03-02,-4.6791
2022-03-01,-6.7614
2022-02-28,-7.6720
2022-02-25,-6.9952
2022-02-24,-10.3940
2022-02-23,-9.8166
2022-02-22,-8.5966
2022-02-18,-8.2192
2022-02-17,-8.1833
2022-02-16,-4.7237
2022-02-15,-2.9469
2022-02-14,-1.3636
2022-02-11,-0.1340
2022-02-10,1.9922
2022-02-09,2.6292
2022-02-08,0.6760
2022-02-07,6.5363
2022-02-04,6.0302
2022-02-03,5.3203
2022-02-02,4.3092
2022-02-01,1.9482
2022-01-31,-0.4769
2022-01-28,-0.1929
2022-01-27,-0.8010
2022-01-26,1.0461
2022-01-25,0.7924
2022-01-24,-4.4575
2022-01-21,-4.4259
2022-01-20,-5.3538
2022-01-19,-4.6660
2022-01-18,-2.2787
2022-01-14,0.4115
2022-01-13,0.6348
2022-01-12,0.1800
2022-01-11,0.1810
2022-01-10,2.5908
2022-01-07,3.2152
2022-01-06,4.3083
2022-01-05,7.1722
2022-01-04,8.6258
2022-01-03,6.7818
2021-12-31,6.1383
2021-12-30,8.7726
2021-12-29,7.7489
2021-12-28,8.1987
2021-12-27,6.0682
2021-12-23,5.7134
2021-12-22,5.4707
2021-12-21,6.0783
2021-12-20,5.9628
2021-12-17,7.2030
2021-12-16,7.7246
2021-12-15,5.2942
2021-12-14,5.6874
2021-12-13,3.4430
2021-12-10,7.1496
2021-12-09,5.8597
2021-12-08,5.3344
2021-12-07,4.3874
2021-12-06,3.3262
2021-12-03,1.8687
2021-12-02,-0.9826
2021-12-01,-1.3000
2021-11-30,-1.4890
2021-11-29,-0.3867
2021-11-26,-3.7083
2021-11-24,-2.9030
2021-11-23,-3.3595
2021-11-22,-5.2107
2021-11-19,-4.8420
2021-11-18,-2.1571
2021-11-17,-1.5444
2021-11-16,-0.4671
2021-11-15,-0.2017
2021-11-12,0.8160
2021-11-11,1.3268
2021-11-10,1.8268
2021-11-09,0.7823
2021-11-08,2.0596
2021-11-05,1.1073
2021-11-04,-1.4968
2021-11-03,-10.4087
2021-11-02,-11.1283
2021-11-01,-11.2704
2021-10-29,-13.4915
2021-10-28,-12.2393
2021-10-27,-11.0756
2021-10-26,-9.4967
2021-10-25,-10.3840
2021-10-22,-10.7108
2021-10-21,-9.5057
2021-10-20,-0.3231
2021-10-19,-0.8173
2021-10-18,-1.2421
2021-10-15,0.9001
2021-10-14,3.2102
2021-10-13,1.1352
2021-10-12,2.1823
2021-10-11,2.7930
2021-10-08,4.1676
2021-10-07,3.7154
2021-10-06,5.7417
2021-10-05,7.6559
2021-10-04,7.2966
2021-10-01,5.9824
2021-09-30,1.8324
2021-09-29,1.4431
2021-09-28,0.9176
2021-09-27,0.2968
2021-09-24,0.3430
2021-09-23,-0.7333
2021-09-22,-2.9134
2021-09-21,-3.6868
2021-09-20,-3.7756
2021-09-17,-3.4140
2021-09-16,-2.0603
2021-09-15,-2.2374
2021-09-14,-1.9788
2021-09-13,-0.9038
2021-09-10,-1.2682
2021-09-09,-1.5158
2021-09-08,-0.8367
2021-09-07,-1.1173
2021-09-03,0.3379
2021-09-02,1.4418
2021-09-01,-0.1219
2021-08-31,-1.4605
2021-08-30,-3.2175
2021-08-27,-2.6330
2021-08-26,-2.9985
2021-08-25,-1.5971
2021-08-24,-1.0893
2021-08-23,-1.1540
2021-08-20,-2.3352
2021-08-19,-2.2046
2021-08-18,-1.1703
2021-08-17,0.0025
2021-08-16,2.7133
2021-08-13,2.7543
2021-08-12,1.9736
2021-08-11,1.4179
2021-08-10,0.1902
2021-08-09,0.0841
2021-08-06,1.9457
2021-08-05,1.4640
2021-08-04,1.0333
2021-08-03,2.9292
2021-08-02,2.5377
2021-07-30,1.4831
2021-07-29,1.0538
2021-07-28,1.3947
2021-07-27,1.7608
2021-07-26,1.3128
2021-07-23,-0.1272
2021-07-22,-0.0213
2021-07-21,1.0585
2021-07-20,0.8575
2021-07-19,-1.4998
2021-07-16,-5.4072
2021-07-15,-4.1886
2021-07-14,-3.9368
2021-07-13,-3.4483
2021-07-12,-4.0316
2021-07-09,-2.6953
2021-07-08,-2.6762
2021-07-07,-4.4684
2021-07-06,-5.3665
2021-07-02,-2.1660
2021-07-01,0.8516
2021-06-30,-0.8388
2021-06-29,-2.5509
2021-06-28,-3.1594
2021-06-25,-2.9350
2021-06-24,-3.3878
2021-06-23,-4.0220
2021-06-22,-1.8179
2021-06-21,-0.9256
2021-06-18,-2.9168
2021-06-17,0.0344
2021-06-16,1.4480
2021-06-15,3.5855
2021-06-14,4.3760
2021-06-11,5.1870
2021-06-10,4.9937
2021-06-09,4.7848
2021-06-08,3.0058
2021-06-07,2.2661
2021-06-04,2.4604
2021-06-03,1.6482
2021-06-02,1.2577
2021-06-01,-0.6340
2021-05-28,-0.6497
2021-05-27,-0.2428
2021-05-26,1.4720
2021-05-25,-0.2982
2021-05-24,-0.9920
2021-05-21,-0.4950
2021-05-20,-1.9659
