time,APO
2022-04-26,0.8095
2022-04-25,0.5048
2022-04-22,0.1743
2022-04-21,-0.1286
2022-04-20,-0.3472
2022-04-19,-0.4581
2022-04-18,-0.2218
2022-04-14,0.2701
2022-04-13,0.6707
2022-04-12,1.0717
2022-04-11,1.4572
2022-04-08,1.6572
2022-04-07,1.7586
2022-04-06,1.9521
2022-04-05,2.1272
2022-04-04,2.3309
2022-04-01,2.3671
2022-03-31,2.4152
2022-03-30,2.3638
2022-03-29,2.0454
2022-03-28,1.7215
2022-03-25,1.4234
2022-03-24,1.1247
2022-03-23,0.8434
2022-03-22,0.6203
2022-03-21,0.3226
2022-03-18,-0.0154
2022-03-17,-0.6156
2022-03-16,-1.3409
2022-03-15,-1.9536
2022-03-14,-2.3880
2022-03-11,-2.9368
2022-03-10,-3.4618
2022-03-09,-3.8113
2022-03-08,-4.1379
2022-03-07,-4.4293
2022-03-04,-4.3659
2022-03-03,-4.3265
2022-03-02,-4.3056
2022-03-01,-3.7802
2022-02-28,-3.1144
2022-02-25,-2.3544
2022-02-24,-1.7395
2022-02-23,-1.0676
2022-02-22,-0.4480
2022-02-18,0.1264
2022-02-17,0.6848
2022-02-16,1.1199
2022-02-15,1.1796
2022-02-14,1.2828
2022-02-11,1.2195
2022-02-10,1.0865
2022-02-09,1.0594
2022-02-08,0.4760
2022-02-07,0.0386
2022-02-04,-0.3103
2022-02-03,-0.5831
2022-02-02,-0.7591
2022-02-01,-0.7907
2022-01-31,-0.6841
2022-01-28,-0.5567
2022-01-27,-0.4907
2022-01-26,-0.1312
2022-01-25,0.1358
2022-01-24,0.4170
2022-01-21,1.2771
2022-01-20,2.0812
2022-01-19,2.7261
2022-01-18,3.1218
2022-01-14,3.5002
2022-01-13,3.8079
2022-01-12,4.0904
2022-01-11,4.4009
2022-01-10,4.7036
2022-01-07,4.9243
2022-01-06,5.0962
2022-01-05,5.1061
2022-01-04,4.9833
2022-01-03,4.8518
2021-12-31,4.5647
2021-12-30,4.4136
2021-12-29,4.1791
2021-12-28,4.0880
2021-12-27,3.9673
2021-12-23,3.7999
2021-12-22,3.5545
2021-12-21,3.2102
2021-12-20,2.8163
2021-12-17,2.3142
2021-12-16,1.8020
2021-12-15,1.3385
2021-12-14,1.0168
2021-12-13,0.5082
2021-12-10,0.2005
2021-12-09,-0.1834
2021-12-08,-0.5406
2021-12-07,-0.9098
2021-12-06,-1.1433
2021-12-03,-1.2354
2021-12-02,-1.2369
2021-12-01,-1.1955
2021-11-30,-1.1643
2021-11-29,-1.0538
2021-11-26,-1.0148
2021-11-24,-1.2494
2021-11-23,-1.3774
2021-11-22,-1.5838
2021-11-19,-2.0439
2021-11-18,-2.4011
2021-11-17,-2.7641
2021-11-16,-3.1652
2021-11-15,-3.7222
2021-11-12,-4.2697
2021-11-11,-4.8219
2021-11-10,-5.3096
2021-11-09,-5.7855
2021-11-08,-6.2994
2021-11-05,-6.8361
2021-11-04,-6.2862
2021-11-03,-5.6339
2021-11-02,-4.9316
2021-11-01,-4.0744
2021-10-29,-3.2697
2021-10-28,-2.5759
2021-10-27,-1.8631
2021-10-26,-0.9422
2021-10-25,-0.0809
2021-10-22,0.6381
2021-10-21,1.3483
2021-10-20,2.0713
2021-10-19,2.3971
2021-10-18,2.6066
2021-10-15,2.5429
2021-10-14,2.3906
2021-10-13,2.1384
2021-10-12,2.0741
2021-10-11,1.9009
2021-10-08,1.5919
2021-10-07,1.1348
2021-10-06,0.5846
2021-10-05,0.1474
2021-10-04,-0.2701
2021-10-01,-0.6220
2021-09-30,-0.9269
2021-09-29,-1.1379
2021-09-28,-1.2211
2021-09-27,-1.3024
2021-09-24,-1.3409
2021-09-23,-1.3230
2021-09-22,-1.4103
