time,FAMA,MAMA
2023-07-19,115.2066,120.0611
2023-07-18,115.1822,120.0089
2023-07-17,115.1579,119.9573
2023-07-14,115.1338,119.9156
2023-07-13,115.1098,119.8813
2023-07-12,115.0858,119.8419
2023-07-11,115.0619,119.8121
2023-07-10,115.0380,119.7671
2023-07-07,115.0143,119.7360
2023-07-06,114.9905,119.7123
2023-07-05,114.9668,119.6876
2023-07-03,114.9431,119.6432
2023-06-30,114.9195,119.6036
2023-06-29,114.8959,119.5624
2023-06-28,114.8725,119.5184
2023-06-27,114.8491,119.4955
2023-06-26,114.8258,119.4669
2023-06-23,114.8025,119.4473
2023-06-22,114.7791,119.4454
2023-06-21,114.7557,119.4272
2023-06-20,114.7322,119.3853
2023-06-16,114.7088,119.3218
2023-06-15,114.6856,119.2435
2023-06-14,114.6627,119.1558
2023-06-13,114.6401,119.0784
2023-06-12,114.6178,118.9964
2023-06-09,114.5958,118.9247
2023-06-08,114.5741,118.8627
2023-06-07,114.5525,118.8084
2023-06-06,114.5311,118.7538
2023-06-05,114.5099,118.7144
2023-06-02,114.4888,118.6751
2023-06-01,114.4678,118.6375
2023-05-31,114.4468,118.6238
2023-05-30,114.4258,118.6214
2023-05-26,114.4047,118.6107
2023-05-25,114.3836,118.6053
2023-05-24,114.3624,118.6198
2023-05-23,114.3410,118.6446
2023-05-22,114.3194,118.6462
2023-05-19,114.2976,118.6542
2023-05-18,114.2757,118.6646
2023-05-17,114.2537,118.6854
2023-05-16,114.2314,118.7105
2023-05-15,114.2089,118.7569
2023-05-12,114.1860,118.8047
2023-05-11,114.1628,118.8578
2023-05-10,114.1392,118.9296
2023-05-09,114.1152,118.9916
2023-05-08,114.0907,119.0622
2023-05-05,114.0657,119.1283
2023-05-04,114.0402,119.1927
2023-05-03,114.0143,119.2677
2023-05-02,113.9880,119.3354
2023-05-01,113.9611,119.3880
2023-04-28,113.9338,119.4326
2023-04-27,113.9062,119.4747
2023-04-26,113.8782,119.5121
2023-04-25,113.8499,119.5601
2023-04-24,113.8212,119.6083
2023-04-21,113.7921,119.6614
2023-04-20,113.7626,119.7121
2023-04-19,113.7327,119.7574
2023-04-18,113.7024,119.8036
2023-04-17,113.6718,119.8369
2023-04-14,113.6408,119.8700
2023-04-13,113.6095,119.9006
2023-04-12,113.5779,119.9337
2023-04-11,113.5459,119.9612
2023-04-10,113.5137,119.9717
2023-04-06,113.4813,119.9767
2023-04-05,113.4486,119.9866
2023-04-04,113.4158,119.9815
2023-04-03,113.3828,119.9813
2023-03-31,113.3496,119.9769
2023-03-30,113.3163,119.9814
2023-03-29,113.2828,120.0031
2023-03-28,113.2490,120.0206
2023-03-27,113.2150,120.0416
2023-03-24,113.1807,120.0631
2023-03-23,113.1461,120.1219
2023-03-22,113.1111,120.1990
2023-03-21,113.0755,120.2705
2023-03-20,113.0393,120.3196
2023-03-17,113.0027,120.3750
2023-03-16,112.9657,120.4516
2023-03-15,112.9280,120.5198
2023-03-14,112.8899,120.6016
2023-03-13,112.8511,120.6718
2023-03-10,112.8118,120.7340
2023-03-09,112.7720,120.7981
2023-03-08,112.7317,120.8562
2023-03-07,112.6909,120.8976
2023-03-06,112.6496,120.9375
2023-03-03,112.6080,120.9600
2023-03-02,112.5660,120.9878
2023-03-01,112.5237,121.0224
2023-02-28,112.4810,121.0641
2023-02-27,112.4379,121.0960
2023-02-24,112.3944,121.1174
2023-02-23,112.3505,121.1381
2023-02-22,112.3064,121.1571
2023-02-21,112.2619,121.1746
2023-02-17,112.2171,121.1855
2023-02-16,112.1720,121.1660
2023-02-15,112.1268,121.1464
2023-02-14,112.0815,121.1138
2023-02-13,112.0361,121.0845
2023-02-10,111.9907,121.0425
2023-02-09,111.9452,121.0162
2023-02-08,111.8996,121.0066
2023-02-07,111.8538,120.9918
2023-02-06,111.8079,120.9780
2023-02-03,111.7618,120.9610
2023-02-02,111.7156,120.9369
2023-02-01,111.6693,120.9175
2023-01-31,111.6228,120.9098
2023-01-30,111.5761,120.9053
2023-01-27,111.5292,120.8956
2023-01-26,111.4822,120.8940
2023-01-25,111.4349,120.8919
2023-01-24,111.3873,120.8324
2023-01-23,111.3399,120.7656
2023-01-20,111.2925,120.6948
2023-01-19,111.2453,120.6292
2023-01-18,111.1981,120.5683
2023-01-17,111.1510,120.5087
